year,week,week_start,metric,vax,value
2022,02,2022-01-09,deaths,vax,2.24487146691845
2022,02,2022-01-09,deaths,unvax,20.17935166617604
2022,03,2022-01-16,cases,vax,1235.0894752277086
2022,03,2022-01-16,cases,unvax,1693.7239914170477
2022,03,2022-01-16,hosp,vax,18.92487879014532
2022,03,2022-01-16,hosp,unvax,89.10441424471483
2022,03,2022-01-16,deaths,vax,1.941036034574719
2022,03,2022-01-16,deaths,unvax,13.63376115807228
2022,04,2022-01-23,cases,vax,711.4901019947424
2022,04,2022-01-23,cases,unvax,1091.2352898993377
2022,04,2022-01-23,hosp,vax,15.671651880590874
2022,04,2022-01-23,hosp,unvax,79.87724692831782
2022,04,2022-01-23,deaths,vax,1.7250498224018462
2022,04,2022-01-23,deaths,unvax,14.858527627984643
2022,05,2022-01-30,cases,vax,404.0580218750043
2022,05,2022-01-30,cases,unvax,669.2288760650767
2022,05,2022-01-30,hosp,vax,10.11836650404372
2022,05,2022-01-30,hosp,unvax,54.678067643316155
2022,05,2022-01-30,deaths,vax,0.9710391160369596
2022,05,2022-01-30,deaths,unvax,8.713258104988899
2022,06,2022-02-06,cases,vax,243.98661897429884
2022,06,2022-02-06,cases,unvax,407.5244883260986
2022,06,2022-02-06,hosp,vax,8.810970465558052
2022,06,2022-02-06,hosp,unvax,35.342148724890066
2022,06,2022-02-06,deaths,vax,0.5618348315052676
2022,06,2022-02-06,deaths,unvax,4.535443704411274
