year,week,week_start,age,vax,metric,value
2021,25,2021-06-20,50-64,unvaxxed,caserate,23.97369431905173
2021,25,2021-06-20,50-64,vaxxed,hosprate,0.2677569730609709
2021,25,2021-06-20,50-64,unvaxxed,hosprate,5.176138546158897
2021,25,2021-06-20,50-64,vaxxed,deathrate,0
2021,25,2021-06-20,50-64,unvaxxed,deathrate,0.27242834453467873
2021,25,2021-06-20,65+,vaxxed,caserate,4.482389482732254
2021,25,2021-06-20,65+,unvaxxed,caserate,43.923572983009564
2021,25,2021-06-20,65+,vaxxed,hosprate,1.713854802221156
2021,25,2021-06-20,65+,unvaxxed,hosprate,16.97047137979915
2021,25,2021-06-20,65+,vaxxed,deathrate,0.13183498478624275
2021,25,2021-06-20,65+,unvaxxed,deathrate,1.9965260446822528
2021,26,2021-06-27,12-17,vaxxed,caserate,0.7205649228995532
2021,26,2021-06-27,12-17,unvaxxed,caserate,26.444801562277508
2021,26,2021-06-27,12-17,vaxxed,hosprate,0
2021,26,2021-06-27,12-17,unvaxxed,hosprate,1.356143669860385
2021,26,2021-06-27,12-17,vaxxed,deathrate,0
2021,26,2021-06-27,12-17,unvaxxed,deathrate,0
2021,26,2021-06-27,18-49,vaxxed,caserate,5.600972133946031
2021,26,2021-06-27,18-49,unvaxxed,caserate,33.117318099367004
2021,26,2021-06-27,18-49,vaxxed,hosprate,0.2435205275628709
2021,26,2021-06-27,18-49,unvaxxed,hosprate,4.1396647624208756
2021,26,2021-06-27,18-49,vaxxed,deathrate,0
2021,26,2021-06-27,18-49,unvaxxed,deathrate,0
2021,26,2021-06-27,50-64,vaxxed,caserate,4.8959608323133414
2021,26,2021-06-27,50-64,unvaxxed,caserate,22.32828155963047
2021,26,2021-06-27,50-64,vaxxed,hosprate,1.0585861259055873
2021,26,2021-06-27,50-64,unvaxxed,hosprate,4.744759831421474
2021,26,2021-06-27,50-64,vaxxed,deathrate,0
2021,26,2021-06-27,50-64,unvaxxed,deathrate,0.2791035194953808
2021,26,2021-06-27,65+,vaxxed,caserate,7.226155002338646
2021,26,2021-06-27,65+,unvaxxed,caserate,31.770758603726403
2021,26,2021-06-27,65+,vaxxed,hosprate,2.1021541824985155
2021,26,2021-06-27,65+,unvaxxed,hosprate,11.273494988419046
2021,26,2021-06-27,65+,vaxxed,deathrate,0.13138463640615722
2021,26,2021-06-27,65+,unvaxxed,deathrate,2.049726361530736
2021,27,2021-07-04,12-17,vaxxed,caserate,2.683051165785731
2021,27,2021-07-04,12-17,unvaxxed,caserate,24.942912348498155
2021,27,2021-07-04,12-17,vaxxed,hosprate,0
2021,27,2021-07-04,12-17,unvaxxed,hosprate,1.756543123133673
2021,27,2021-07-04,12-17,vaxxed,deathrate,0
2021,27,2021-07-04,12-17,unvaxxed,deathrate,0
2021,27,2021-07-04,18-49,vaxxed,caserate,6.883419682898464
2021,27,2021-07-04,18-49,unvaxxed,caserate,44.19200373431997
2021,27,2021-07-04,18-49,vaxxed,hosprate,0.3201590550185332
2021,27,2021-07-04,18-49,unvaxxed,hosprate,3.347879070781816
2021,27,2021-07-04,18-49,vaxxed,deathrate,0
2021,27,2021-07-04,18-49,unvaxxed,deathrate,0.09565368773662329
2021,27,2021-07-04,50-64,vaxxed,caserate,9.718377188604808
2021,27,2021-07-04,50-64,unvaxxed,caserate,32.61754370041779
2021,27,2021-07-04,50-64,vaxxed,hosprate,1.0506353717410604
2021,27,2021-07-04,50-64,unvaxxed,hosprate,3.6872005922211413
2021,27,2021-07-04,50-64,vaxxed,deathrate,0
2021,27,2021-07-04,50-64,unvaxxed,deathrate,0.5672616295724833
2021,27,2021-07-04,65+,vaxxed,caserate,6.5535008146001505
2021,27,2021-07-04,65+,unvaxxed,caserate,46.99886158313054
2021,27,2021-07-04,65+,vaxxed,hosprate,1.5728401955040363
2021,27,2021-07-04,65+,unvaxxed,hosprate,21.932802072127586
2021,27,2021-07-04,65+,vaxxed,deathrate,0.13107001629200302
2021,27,2021-07-04,65+,unvaxxed,deathrate,3.1332574388753693
2021,28,2021-07-11,12-17,vaxxed,caserate,3.183598102575531
2021,28,2021-07-11,12-17,unvaxxed,caserate,33.612959422290814
2021,28,2021-07-11,12-17,vaxxed,hosprate,0
2021,28,2021-07-11,12-17,unvaxxed,hosprate,0.7228593424148563
2021,28,2021-07-11,12-17,vaxxed,deathrate,0
2021,28,2021-07-11,12-17,unvaxxed,deathrate,0
2021,28,2021-07-11,18-49,vaxxed,caserate,16.556002858088917
2021,28,2021-07-11,18-49,unvaxxed,caserate,64.4108345803852
2021,28,2021-07-11,18-49,vaxxed,hosprate,0.15843064935970252
2021,28,2021-07-11,18-49,unvaxxed,hosprate,5.036636688992528
2021,28,2021-07-11,18-49,vaxxed,deathrate,0
2021,28,2021-07-11,18-49,unvaxxed,deathrate,0.2905751935957227
2021,28,2021-07-11,50-64,vaxxed,caserate,11.886614757428154
2021,28,2021-07-11,50-64,unvaxxed,caserate,58.25833409863164
2021,28,2021-07-11,50-64,vaxxed,hosprate,1.1755992617236637
2021,28,2021-07-11,50-64,unvaxxed,hosprate,8.896592891909266
2021,28,2021-07-11,50-64,vaxxed,deathrate,0
2021,28,2021-07-11,50-64,unvaxxed,deathrate,0.28698686748094404
2021,28,2021-07-11,65+,vaxxed,caserate,10.466354594860496
2021,28,2021-07-11,65+,unvaxxed,caserate,105.99508182820318
2021,28,2021-07-11,65+,vaxxed,hosprate,3.4015652433296615
2021,28,2021-07-11,65+,unvaxxed,hosprate,45.57788518612736
2021,28,2021-07-11,65+,vaxxed,deathrate,0.2616588648715124
2021,28,2021-07-11,65+,unvaxxed,deathrate,12.71940981938438
2021,29,2021-07-18,12-17,vaxxed,caserate,9.182792670907077
2021,29,2021-07-18,12-17,unvaxxed,caserate,66.20189729459844
2021,29,2021-07-18,12-17,vaxxed,hosprate,0.6121861780604717
2021,29,2021-07-18,12-17,unvaxxed,hosprate,0.36984300164580136
2021,29,2021-07-18,12-17,vaxxed,deathrate,0
2021,29,2021-07-18,12-17,unvaxxed,deathrate,0
2021,29,2021-07-18,18-49,vaxxed,caserate,29.28876206689145
2021,29,2021-07-18,18-49,unvaxxed,caserate,114.9525453568082
2021,29,2021-07-18,18-49,vaxxed,hosprate,0.6281772025070552
2021,29,2021-07-18,18-49,unvaxxed,hosprate,7.4415617096400535
2021,29,2021-07-18,18-49,vaxxed,deathrate,0
2021,29,2021-07-18,18-49,unvaxxed,deathrate,0.09791528565315859
2021,29,2021-07-18,50-64,vaxxed,caserate,21.9675659936879
2021,29,2021-07-18,50-64,unvaxxed,caserate,78.90942532470358
2021,29,2021-07-18,50-64,vaxxed,hosprate,1.2998559759578638
2021,29,2021-07-18,50-64,unvaxxed,hosprate,16.246058155086033
2021,29,2021-07-18,50-64,vaxxed,deathrate,0
2021,29,2021-07-18,50-64,unvaxxed,deathrate,0.870324544022466
2021,29,2021-07-18,65+,vaxxed,caserate,18.938181856176918
2021,29,2021-07-18,65+,unvaxxed,caserate,139.71133488806973
2021,29,2021-07-18,65+,vaxxed,hosprate,3.9182445219676376
2021,29,2021-07-18,65+,unvaxxed,hosprate,37.61459016217262
2021,29,2021-07-18,65+,vaxxed,deathrate,0.653040753661273
2021,29,2021-07-18,65+,unvaxxed,deathrate,4.2988103042483
2021,30,2021-07-25,12-17,vaxxed,caserate,11.8451132985087
2021,30,2021-07-25,12-17,unvaxxed,caserate,116.65307601703363
2021,30,2021-07-25,12-17,vaxxed,hosprate,0
2021,30,2021-07-25,12-17,unvaxxed,hosprate,0.7550360907251367
2021,30,2021-07-25,12-17,vaxxed,deathrate,0
2021,30,2021-07-25,12-17,unvaxxed,deathrate,0
2021,30,2021-07-25,18-49,vaxxed,caserate,51.02024919691791
2021,30,2021-07-25,18-49,unvaxxed,caserate,189.8096265824475
2021,30,2021-07-25,18-49,vaxxed,hosprate,0.545254571570115
2021,30,2021-07-25,18-49,unvaxxed,hosprate,9.693248256946251
2021,30,2021-07-25,18-49,vaxxed,deathrate,0
2021,30,2021-07-25,18-49,unvaxxed,deathrate,0.2967320894983546
2021,30,2021-07-25,50-64,vaxxed,caserate,39.73014560386586
2021,30,2021-07-25,50-64,unvaxxed,caserate,108.115393405254
2021,30,2021-07-25,50-64,vaxxed,hosprate,1.5529698607374278
2021,30,2021-07-25,50-64,unvaxxed,hosprate,12.598812781642064
