age,doses,filed_date,report_date
18-49,3923527,2022-04-10,2022-04-12
5-11,401730,2022-04-10,2022-04-12
50-64,2284914,2022-04-10,2022-04-12
65+,2351792,2022-04-10,2022-04-12
Unknown/missing,621,2022-04-10,2022-04-12
12-15,425168,2022-04-07,2022-04-11
16-17,230285,2022-04-07,2022-04-11
18-49,3921152,2022-04-07,2022-04-11
5-11,401221,2022-04-07,2022-04-11
50-64,2278616,2022-04-07,2022-04-11
65+,2336332,2022-04-07,2022-04-11
Unknown/missing,618,2022-04-07,2022-04-11
12-15,424970,2022-04-06,2022-04-08
16-17,230199,2022-04-06,2022-04-08
18-49,3919915,2022-04-06,2022-04-08
5-11,401001,2022-04-06,2022-04-08
50-64,2276138,2022-04-06,2022-04-08
65+,2328973,2022-04-06,2022-04-08
Unknown/missing,616,2022-04-06,2022-04-08
12-15,424784,2022-04-05,2022-04-07
16-17,230112,2022-04-05,2022-04-07
18-49,3918615,2022-04-05,2022-04-07
5-11,400787,2022-04-05,2022-04-07
50-64,2273997,2022-04-05,2022-04-07
65+,2322479,2022-04-05,2022-04-07
Unknown/missing,616,2022-04-05,2022-04-07
12-15,424605,2022-04-04,2022-04-06
16-17,230029,2022-04-04,2022-04-06
18-49,3917415,2022-04-04,2022-04-06
5-11,400518,2022-04-04,2022-04-06
50-64,2271741,2022-04-04,2022-04-06
65+,2317027,2022-04-04,2022-04-06
Unknown/missing,608,2022-04-04,2022-04-06
12-15,424380,2022-04-03,2022-04-05
16-17,229941,2022-04-03,2022-04-05
18-49,3916317,2022-04-03,2022-04-05
5-11,400207,2022-04-03,2022-04-05
50-64,2269919,2022-04-03,2022-04-05
65+,2312333,2022-04-03,2022-04-05
Unknown/missing,607,2022-04-03,2022-04-05
12-15,423926,2022-03-31,2022-04-04
16-17,229710,2022-03-31,2022-04-04
18-49,3913657,2022-03-31,2022-04-04
5-11,399697,2022-03-31,2022-04-04
50-64,2264231,2022-03-31,2022-04-04
65+,2298733,2022-03-31,2022-04-04
Unknown/missing,599,2022-03-31,2022-04-04
12-15,423575,2022-03-30,2022-04-01
16-17,229550,2022-03-30,2022-04-01
18-49,3908678,2022-03-30,2022-04-01
5-11,399314,2022-03-30,2022-04-01
50-64,2261283,2022-03-30,2022-04-01
65+,2293495,2022-03-30,2022-04-01
Unknown/missing,590,2022-03-30,2022-04-01
12-15,423328,2022-03-29,2022-03-31
16-17,229422,2022-03-29,2022-03-31
18-49,3906947,2022-03-29,2022-03-31
5-11,399014,2022-03-29,2022-03-31
50-64,2260357,2022-03-29,2022-03-31
65+,2292082,2022-03-29,2022-03-31
Unknown/missing,591,2022-03-29,2022-03-31
12-15,423112,2022-03-28,2022-03-30
16-17,229306,2022-03-28,2022-03-30
18-49,3905713,2022-03-28,2022-03-30
5-11,398708,2022-03-28,2022-03-30
50-64,2260019,2022-03-28,2022-03-30
65+,2292958,2022-03-28,2022-03-30
Unknown/missing,589,2022-03-28,2022-03-30
12-15,422854,2022-03-27,2022-03-29
16-17,229211,2022-03-27,2022-03-29
18-49,3904443,2022-03-27,2022-03-29
5-11,398385,2022-03-27,2022-03-29
50-64,2259378,2022-03-27,2022-03-29
65+,2292286,2022-03-27,2022-03-29
Unknown/missing,585,2022-03-27,2022-03-29
12-15,422334,2022-03-24,2022-03-28
16-17,228993,2022-03-24,2022-03-28
18-49,3901815,2022-03-24,2022-03-28
5-11,397743,2022-03-24,2022-03-28
