race,date,cases,pop
Native,2020-05-02,66,57046
Asian,2020-05-02,314,297460
Black,2020-05-02,1249,392850
Hispanic,2020-05-02,1058,345640
White,2020-05-02,2888,4353880
Other,2020-05-02,261,259618
Native,2020-05-03,71,57046
Asian,2020-05-03,337,297460
Black,2020-05-03,1371,392850
Hispanic,2020-05-03,1128,345640
White,2020-05-03,3029,4353880
Other,2020-05-03,278,259618
Native,2020-05-04,75,57046
Asian,2020-05-04,362,297460
Black,2020-05-04,1546,392850
Hispanic,2020-05-04,1236,345640
White,2020-05-04,3165,4353880
Other,2020-05-04,292,259618
Native,2020-05-05,79,57046
Asian,2020-05-05,387,297460
Black,2020-05-05,1735,392850
Hispanic,2020-05-05,1367,345640
White,2020-05-05,3314,4353880
Other,2020-05-05,314,259618
Native,2020-05-06,82,57046
Asian,2020-05-06,418,297460
Black,2020-05-06,1943,392850
Hispanic,2020-05-06,1465,345640
White,2020-05-06,3520,4353880
Other,2020-05-06,337,259618
Native,2020-05-07,88,57046
Asian,2020-05-07,457,297460
Black,2020-05-07,2159,392850
Hispanic,2020-05-07,1601,345640
White,2020-05-07,3713,4353880
Other,2020-05-07,365,259618
Native,2020-05-08,91,57046
Asian,2020-05-08,479,297460
Black,2020-05-08,2410,392850
Hispanic,2020-05-08,1700,345640
White,2020-05-08,3932,4353880
Other,2020-05-08,391,259618
Native,2020-05-09,96,57046
Asian,2020-05-09,515,297460
Black,2020-05-09,2626,392850
Hispanic,2020-05-09,1816,345640
White,2020-05-09,4122,4353880
Other,2020-05-09,411,259618
Native,2020-05-10,99,57046
Asian,2020-05-10,530,297460
Black,2020-05-10,2783,392850
Hispanic,2020-05-10,1899,345640
White,2020-05-10,4288,4353880
Other,2020-05-10,425,259618
Native,2020-05-11,103,57046
Asian,2020-05-11,552,297460
Black,2020-05-11,2936,392850
Hispanic,2020-05-11,1980,345640
White,2020-05-11,4421,4353880
Other,2020-05-11,450,259618
Native,2020-05-12,108,57046
Asian,2020-05-12,589,297460
Black,2020-05-12,3139,392850
Hispanic,2020-05-12,2073,345640
White,2020-05-12,4633,4353880
Other,2020-05-12,477,259618
Native,2020-05-13,109,57046
Asian,2020-05-13,612,297460
Black,2020-05-13,3278,392850
Hispanic,2020-05-13,2137,345640
White,2020-05-13,4776,4353880
Other,2020-05-13,486,259618
Native,2020-05-14,114,57046
Asian,2020-05-14,635,297460
Black,2020-05-14,3418,392850
Hispanic,2020-05-14,2236,345640
White,2020-05-14,4968,4353880
Other,2020-05-14,502,259618
Native,2020-05-15,116,57046
Asian,2020-05-15,680,297460
Black,2020-05-15,3670,392850
Hispanic,2020-05-15,2396,345640
White,2020-05-15,5214,4353880
Other,2020-05-15,523,259618
Native,2020-05-16,119,57046
Asian,2020-05-16,726,297460
Black,2020-05-16,3868,392850
Hispanic,2020-05-16,2528,345640
White,2020-05-16,5469,4353880
Other,2020-05-16,551,259618
Native,2020-05-17,122,57046
Asian,2020-05-17,775,297460
Black,2020-05-17,4056,392850
Hispanic,2020-05-17,2644,345640
White,2020-05-17,5711,4353880
Other,2020-05-17,576,259618
Native,2020-05-18,129,57046
Asian,2020-05-18,818,297460
Black,2020-05-18,4250,392850
Hispanic,2020-05-18,2789,345640
White,2020-05-18,5939,4353880
Other,2020-05-18,593,259618
Native,2020-05-19,133,57046
Asian,2020-05-19,843,297460
Black,2020-05-19,4429,392850
Hispanic,2020-05-19,2960,345640
White,2020-05-19,6147,4353880
Other,2020-05-19,612,259618
Native,2020-05-20,137,57046
Asian,2020-05-20,889,297460
Black,2020-05-20,4568,392850
Hispanic,2020-05-20,3164,345640
White,2020-05-20,6317,4353880
Other,2020-05-20,626,259618
Native,2020-05-21,143,57046
Asian,2020-05-21,946,297460
Black,2020-05-21,4685,392850
Hispanic,2020-05-21,3286,345640
White,2020-05-21,6499,4353880
Other,2020-05-21,648,259618
Native,2020-05-22,149,57046
Asian,2020-05-22,1007,297460
Black,2020-05-22,4877,392850
Hispanic,2020-05-22,3511,345640
White,2020-05-22,6727,4353880
Other,2020-05-22,671,259618
Native,2020-05-23,152,57046
Asian,2020-05-23,1084,297460
Black,2020-05-23,5041,392850
Hispanic,2020-05-23,3751,345640
White,2020-05-23,6977,4353880
Other,2020-05-23,700,259618
Native,2020-05-24,155,57046
Asian,2020-05-24,1157,297460
Black,2020-05-24,5188,392850
Hispanic,2020-05-24,3977,345640
White,2020-05-24,7171,4353880
Other,2020-05-24,720,259618
Native,2020-05-25,159,57046
Asian,2020-05-25,1235,297460
Black,2020-05-25,5355,392850
Hispanic,2020-05-25,4142,345640
White,2020-05-25,7428,4353880
Other,2020-05-25,740,259618
Native,2020-05-26,166,57046
Asian,2020-05-26,1284,297460
Black,2020-05-26,5471,392850
Hispanic,2020-05-26,4351,345640
White,2020-05-26,7618,4353880
Other,2020-05-26,770,259618
Native,2020-05-27,175,57046
Asian,2020-05-27,1317,297460
Black,2020-05-27,5560,392850
Hispanic,2020-05-27,4520,345640
White,2020-05-27,7766,4353880
Other,2020-05-27,780,259618
Native,2020-05-28,183,57046
Asian,2020-05-28,1366,297460
Black,2020-05-28,5658,392850
Hispanic,2020-05-28,4656,345640
White,2020-05-28,7922,4353880
Other,2020-05-28,790,259618
Native,2020-05-29,188,57046
Asian,2020-05-29,1419,297460
Black,2020-05-29,5770,392850
Hispanic,2020-05-29,4833,345640
White,2020-05-29,8094,4353880
Other,2020-05-29,817,259618
Native,2020-05-30,191,57046
Asian,2020-05-30,1475,297460
Black,2020-05-30,5885,392850
Hispanic,2020-05-30,5042,345640
White,2020-05-30,8287,4353880
Other,2020-05-30,841,259618
Native,2020-05-31,197,57046
Asian,2020-05-31,1559,297460
Black,2020-05-31,6008,392850
Hispanic,2020-05-31,5223,345640
White,2020-05-31,8469,4353880
Other,2020-05-31,866,259618
Native,2020-06-01,198,57046
Asian,2020-06-01,1605,297460
Black,2020-06-01,6070,392850
Hispanic,2020-06-01,5321,345640
White,2020-06-01,8569,4353880
Other,2020-06-01,882,259618
Native,2020-06-02,199,57046
Asian,2020-06-02,1640,297460
Black,2020-06-02,6116,392850
Hispanic,2020-06-02,5400,345640
White,2020-06-02,8683,4353880
Other,2020-06-02,891,259618
Native,2020-06-03,205,57046
Asian,2020-06-03,1689,297460
Black,2020-06-03,6185,392850
Hispanic,2020-06-03,5496,345640
White,2020-06-03,8792,4353880
Other,2020-06-03,898,259618
Native,2020-06-04,207,57046
Asian,2020-06-04,1753,297460
Black,2020-06-04,6244,392850
Hispanic,2020-06-04,5634,345640
White,2020-06-04,8883,4353880
Other,2020-06-04,912,259618
Native,2020-06-05,212,57046
Asian,2020-06-05,1831,297460
Black,2020-06-05,6357,392850
Hispanic,2020-06-05,5881,345640
White,2020-06-05,9068,4353880
Other,2020-06-05,937,259618
Native,2020-06-06,221,57046
Asian,2020-06-06,1881,297460
Black,2020-06-06,6459,392850
Hispanic,2020-06-06,6063,345640
White,2020-06-06,9188,4353880
Other,2020-06-06,954,259618
Native,2020-06-07,223,57046
Asian,2020-06-07,1923,297460
Black,2020-06-07,6529,392850
Hispanic,2020-06-07,6201,345640
White,2020-06-07,9283,4353880
Other,2020-06-07,962,259618
Native,2020-06-08,228,57046
Asian,2020-06-08,1961,297460
Black,2020-06-08,6590,392850
Hispanic,2020-06-08,6311,345640
White,2020-06-08,9371,4353880
Other,2020-06-08,972,259618
Native,2020-06-09,229,57046
Asian,2020-06-09,1996,297460
Black,2020-06-09,6634,392850
Hispanic,2020-06-09,6416,345640
White,2020-06-09,9448,4353880
Other,2020-06-09,983,259618
Native,2020-06-10,231,57046
Asian,2020-06-10,2039,297460
Black,2020-06-10,6693,392850
Hispanic,2020-06-10,6515,345640
White,2020-06-10,9551,4353880
Other,2020-06-10,994,259618
Native,2020-06-11,234,57046
Asian,2020-06-11,2091,297460
Black,2020-06-11,6757,392850
Hispanic,2020-06-11,6651,345640
White,2020-06-11,9700,4353880
Other,2020-06-11,1009,259618
Native,2020-06-12,244,57046
Asian,2020-06-12,2143,297460
Black,2020-06-12,6845,392850
Hispanic,2020-06-12,6780,345640
White,2020-06-12,9846,4353880
Other,2020-06-12,1025,259618
Native,2020-06-13,247,57046
Asian,2020-06-13,2190,297460
Black,2020-06-13,6912,392850
Hispanic,2020-06-13,6878,345640
White,2020-06-13,9950,4353880
Other,2020-06-13,1039,259618
Native,2020-06-14,249,57046
Asian,2020-06-14,2231,297460
Black,2020-06-14,6973,392850
Hispanic,2020-06-14,6962,345640
White,2020-06-14,10023,4353880
Other,2020-06-14,1047,259618
Native,2020-06-15,253,57046
Asian,2020-06-15,2257,297460
Black,2020-06-15,7022,392850
Hispanic,2020-06-15,7029,345640
White,2020-06-15,10070,4353880
Other,2020-06-15,1054,259618
Native,2020-06-16,253,57046
Asian,2020-06-16,2280,297460
Black,2020-06-16,7062,392850
Hispanic,2020-06-16,7078,345640
White,2020-06-16,10132,4353880
Other,2020-06-16,1061,259618
Native,2020-06-17,253,57046
Asian,2020-06-17,2338,297460
Black,2020-06-17,7120,392850
Hispanic,2020-06-17,7215,345640
White,2020-06-17,10249,4353880
Other,2020-06-17,1078,259618
Native,2020-06-18,258,57046
Asian,2020-06-18,2389,297460
Black,2020-06-18,7185,392850
Hispanic,2020-06-18,7309,345640
White,2020-06-18,10389,4353880
Other,2020-06-18,1085,259618
Native,2020-06-19,262,57046
Asian,2020-06-19,2435,297460
Black,2020-06-19,7235,392850
Hispanic,2020-06-19,7427,345640
White,2020-06-19,10502,4353880
Other,2020-06-19,1092,259618
Native,2020-06-20,265,57046
Asian,2020-06-20,2496,297460
Black,2020-06-20,7303,392850
Hispanic,2020-06-20,7525,345640
White,2020-06-20,10654,4353880
Other,2020-06-20,1115,259618
Native,2020-06-21,266,57046
Asian,2020-06-21,2533,297460
Black,2020-06-21,7375,392850
Hispanic,2020-06-21,7627,345640
White,2020-06-21,10843,4353880
Other,2020-06-21,1126,259618
Native,2020-06-22,267,57046
Asian,2020-06-22,2556,297460
Black,2020-06-22,7412,392850
Hispanic,2020-06-22,7715,345640
White,2020-06-22,10972,4353880
Other,2020-06-22,1130,259618
Native,2020-06-23,268,57046
Asian,2020-06-23,2578,297460
Black,2020-06-23,7439,392850
Hispanic,2020-06-23,7772,345640
White,2020-06-23,11068,4353880
Other,2020-06-23,1142,259618
Native,2020-06-24,272,57046
Asian,2020-06-24,2596,297460
Black,2020-06-24,7486,392850
Hispanic,2020-06-24,7834,345640
White,2020-06-24,11206,4353880
Other,2020-06-24,1152,259618
Native,2020-06-25,275,57046
Asian,2020-06-25,2632,297460
Black,2020-06-25,7541,392850
Hispanic,2020-06-25,7908,345640
White,2020-06-25,11360,4353880
Other,2020-06-25,1167,259618
Native,2020-06-26,275,57046
Asian,2020-06-26,2662,297460
Black,2020-06-26,7615,392850
Hispanic,2020-06-26,8008,345640
White,2020-06-26,11597,4353880
Other,2020-06-26,1184,259618
Native,2020-06-27,275,57046
Asian,2020-06-27,2698,297460
Black,2020-06-27,7679,392850
Hispanic,2020-06-27,8087,345640
White,2020-06-27,11810,4353880
Other,2020-06-27,1195,259618
Native,2020-06-28,280,57046
Asian,2020-06-28,2724,297460
Black,2020-06-28,7746,392850
Hispanic,2020-06-28,8174,345640
White,2020-06-28,12094,4353880
Other,2020-06-28,1214,259618
Native,2020-06-29,280,57046
Asian,2020-06-29,2732,297460
Black,2020-06-29,7800,392850
Hispanic,2020-06-29,8213,345640
White,2020-06-29,12276,4353880
Other,2020-06-29,1225,259618
Native,2020-06-30,283,57046
Asian,2020-06-30,2753,297460
Black,2020-06-30,7860,392850
Hispanic,2020-06-30,8302,345640
White,2020-06-30,12503,4353880
Other,2020-06-30,1241,259618
Native,2020-07-01,284,57046
Asian,2020-07-01,2778,297460
Black,2020-07-01,7917,392850
Hispanic,2020-07-01,8361,345640
White,2020-07-01,12742,4353880
Other,2020-07-01,1255,259618
Native,2020-07-02,289,57046
Asian,2020-07-02,2802,297460
Black,2020-07-02,7986,392850
Hispanic,2020-07-02,8431,345640
White,2020-07-02,13027,4353880
Other,2020-07-02,1273,259618
Native,2020-07-03,290,57046
Asian,2020-07-03,2817,297460
Black,2020-07-03,8037,392850
Hispanic,2020-07-03,8504,345640
White,2020-07-03,13259,4353880
Other,2020-07-03,1289,259618
Native,2020-07-05,293,57046
Asian,2020-07-05,2834,297460
Black,2020-07-05,8119,392850
Hispanic,2020-07-05,8601,345640
White,2020-07-05,13528,4353880
Other,2020-07-05,1304,259618
Native,2020-07-06,295,57046
Asian,2020-07-06,2853,297460
Black,2020-07-06,8195,392850
Hispanic,2020-07-06,8654,345640
White,2020-07-06,13773,4353880
Other,2020-07-06,1316,259618
Native,2020-07-07,299,57046
Asian,2020-07-07,2875,297460
Black,2020-07-07,8278,392850
Hispanic,2020-07-07,8708,345640
White,2020-07-07,14106,4353880
Other,2020-07-07,1341,259618
Native,2020-07-08,302,57046
Asian,2020-07-08,2895,297460
Black,2020-07-08,8347,392850
Hispanic,2020-07-08,8770,345640
White,2020-07-08,14352,4353880
Other,2020-07-08,1360,259618
Native,2020-07-09,305,57046
Asian,2020-07-09,2908,297460
Black,2020-07-09,8432,392850
Hispanic,2020-07-09,8829,345640
White,2020-07-09,14699,4353880
Other,2020-07-09,1386,259618
Native,2020-07-10,307,57046
Asian,2020-07-10,2935,297460
Black,2020-07-10,8521,392850
Hispanic,2020-07-10,8910,345640
White,2020-07-10,15051,4353880
Other,2020-07-10,1401,259618
Native,2020-07-11,310,57046
Asian,2020-07-11,2953,297460
Black,2020-07-11,8632,392850
Hispanic,2020-07-11,9006,345640
White,2020-07-11,15536,4353880
Other,2020-07-11,1434,259618
Native,2020-07-12,311,57046
Asian,2020-07-12,2980,297460
Black,2020-07-12,8737,392850
Hispanic,2020-07-12,9074,345640
White,2020-07-12,15973,4353880
Other,2020-07-12,1453,259618
Native,2020-07-13,311,57046
Asian,2020-07-13,2993,297460
Black,2020-07-13,8836,392850
Hispanic,2020-07-13,9132,345640
White,2020-07-13,16237,4353880
Other,2020-07-13,1476,259618
Native,2020-07-14,312,57046
Asian,2020-07-14,3007,297460
Black,2020-07-14,8884,392850
Hispanic,2020-07-14,9177,345640
White,2020-07-14,16476,4353880
Other,2020-07-14,1491,259618
Native,2020-07-15,317,57046
Asian,2020-07-15,3024,297460
Black,2020-07-15,8976,392850
Hispanic,2020-07-15,9214,345640
White,2020-07-15,16811,4353880
Other,2020-07-15,1520,259618
Native,2020-07-16,328,57046
Asian,2020-07-16,3049,297460
Black,2020-07-16,9075,392850
Hispanic,2020-07-16,9276,345640
White,2020-07-16,17160,4353880
Other,2020-07-16,1543,259618
Native,2020-07-17,333,57046
Asian,2020-07-17,3072,297460
Black,2020-07-17,9193,392850
Hispanic,2020-07-17,9347,345640
White,2020-07-17,17514,4353880
Other,2020-07-17,1560,259618
Native,2020-07-18,337,57046
Asian,2020-07-18,3094,297460
Black,2020-07-18,9286,392850
Hispanic,2020-07-18,9401,345640
White,2020-07-18,17758,4353880
Other,2020-07-18,1570,259618
Native,2020-07-19,346,57046
Asian,2020-07-19,3120,297460
Black,2020-07-19,9429,392850
Hispanic,2020-07-19,9522,345640
White,2020-07-19,18124,4353880
Other,2020-07-19,1590,259618
Native,2020-07-20,355,57046
Asian,2020-07-20,3145,297460
Black,2020-07-20,9618,392850
Hispanic,2020-07-20,9630,345640
White,2020-07-20,18577,4353880
Other,2020-07-20,1624,259618
Native,2020-07-21,360,57046
Asian,2020-07-21,3149,297460
Black,2020-07-21,9681,392850
Hispanic,2020-07-21,9665,345640
White,2020-07-21,18768,4353880
Other,2020-07-21,1634,259618
Native,2020-07-22,362,57046
Asian,2020-07-22,3171,297460
Black,2020-07-22,9803,392850
Hispanic,2020-07-22,9711,345640
White,2020-07-22,19018,4353880
Other,2020-07-22,1646,259618
Native,2020-07-23,368,57046
Asian,2020-07-23,3203,297460
Black,2020-07-23,9962,392850
Hispanic,2020-07-23,9815,345640
White,2020-07-23,19376,4353880
Other,2020-07-23,1668,259618
Native,2020-07-24,370,57046
Asian,2020-07-24,3233,297460
Black,2020-07-24,10137,392850
Hispanic,2020-07-24,9922,345640
White,2020-07-24,19732,4353880
Other,2020-07-24,1695,259618
Native,2020-07-25,384,57046
Asian,2020-07-25,3264,297460
Black,2020-07-25,10313,392850
Hispanic,2020-07-25,10034,345640
White,2020-07-25,20089,4353880
Other,2020-07-25,1722,259618
Native,2020-07-26,399,57046
Asian,2020-07-26,3293,297460
Black,2020-07-26,10495,392850
Hispanic,2020-07-26,10156,345640
White,2020-07-26,20502,4353880
Other,2020-07-26,1754,259618
Native,2020-07-27,404,57046
Asian,2020-07-27,3322,297460
Black,2020-07-27,10647,392850
Hispanic,2020-07-27,10262,345640
White,2020-07-27,20792,4353880
Other,2020-07-27,1774,259618
Native,2020-07-28,407,57046
Asian,2020-07-28,3341,297460
Black,2020-07-28,10759,392850
Hispanic,2020-07-28,10319,345640
White,2020-07-28,21018,4353880
Other,2020-07-28,1792,259618
Native,2020-07-29,418,57046
Asian,2020-07-29,3371,297460
Black,2020-07-29,10888,392850
Hispanic,2020-07-29,10403,345640
White,2020-07-29,21331,4353880
Other,2020-07-29,1809,259618
Native,2020-07-30,421,57046
Asian,2020-07-30,3394,297460
Black,2020-07-30,11064,392850
Hispanic,2020-07-30,10485,345640
White,2020-07-30,21678,4353880
Other,2020-07-30,1831,259618
Native,2020-07-31,430,57046
