race,date,cases,pop
Native,2021-05-13,5742,57046
Other,2021-05-13,20681,259618
White,2021-05-13,404900,4353880
Asian,2021-05-14,25102,297460
Black,2021-05-14,46424,392850
Hispanic,2021-05-14,51047,345640
Native,2021-05-14,5763,57046
Other,2021-05-14,20752,259618
White,2021-05-14,405826,4353880
Asian,2021-05-15,25129,297460
Black,2021-05-15,46519,392850
Hispanic,2021-05-15,51162,345640
Native,2021-05-15,5786,57046
Other,2021-05-15,20798,259618
White,2021-05-15,406376,4353880
Asian,2021-05-16,25148,297460
Black,2021-05-16,46593,392850
Hispanic,2021-05-16,51230,345640
Native,2021-05-16,5801,57046
Other,2021-05-16,20851,259618
White,2021-05-16,406913,4353880
Asian,2021-05-17,25166,297460
Black,2021-05-17,46659,392850
Hispanic,2021-05-17,51276,345640
Native,2021-05-17,5806,57046
Other,2021-05-17,20883,259618
White,2021-05-17,407346,4353880
Asian,2021-05-18,25186,297460
Black,2021-05-18,46711,392850
Hispanic,2021-05-18,51318,345640
Native,2021-05-18,5823,57046
Other,2021-05-18,20909,259618
White,2021-05-18,407687,4353880
Asian,2021-05-20,25240,297460
Black,2021-05-20,46871,392850
Hispanic,2021-05-20,51488,345640
Native,2021-05-20,5838,57046
Other,2021-05-20,20974,259618
White,2021-05-20,408750,4353880
Asian,2021-05-21,25251,297460
Black,2021-05-21,46934,392850
Hispanic,2021-05-21,51554,345640
Native,2021-05-21,5853,57046
Other,2021-05-21,21000,259618
White,2021-05-21,409234,4353880
Asian,2021-05-22,25285,297460
Black,2021-05-22,47015,392850
Hispanic,2021-05-22,51610,345640
Native,2021-05-22,5859,57046
Other,2021-05-22,21034,259618
White,2021-05-22,409635,4353880
Asian,2021-05-23,25303,297460
Black,2021-05-23,47077,392850
Hispanic,2021-05-23,51644,345640
Native,2021-05-23,5865,57046
Other,2021-05-23,21070,259618
White,2021-05-23,409949,4353880
Asian,2021-05-24,25312,297460
Black,2021-05-24,47137,392850
Hispanic,2021-05-24,51686,345640
Native,2021-05-24,5870,57046
Other,2021-05-24,21101,259618
White,2021-05-24,410265,4353880
Asian,2021-05-25,25322,297460
Black,2021-05-25,47159,392850
Hispanic,2021-05-25,51712,345640
Native,2021-05-25,5877,57046
Other,2021-05-25,21116,259618
White,2021-05-25,410447,4353880
Asian,2021-05-26,25339,297460
Black,2021-05-26,47218,392850
Hispanic,2021-05-26,51752,345640
Native,2021-05-26,5887,57046
Other,2021-05-26,21131,259618
White,2021-05-26,410742,4353880
Asian,2021-05-27,25369,297460
Black,2021-05-27,47270,392850
Hispanic,2021-05-27,51802,345640
Native,2021-05-27,5895,57046
Other,2021-05-27,21147,259618
White,2021-05-27,411088,4353880
Asian,2021-05-28,25392,297460
Black,2021-05-28,47305,392850
Hispanic,2021-05-28,51835,345640
Native,2021-05-28,5910,57046
Other,2021-05-28,21168,259618
White,2021-05-28,411319,4353880
Asian,2021-05-29,25398,297460
Black,2021-05-29,47342,392850
Hispanic,2021-05-29,51866,345640
Native,2021-05-29,5918,57046
Other,2021-05-29,21197,259618
White,2021-05-29,411561,4353880
Asian,2021-05-30,25401,297460
Black,2021-05-30,47370,392850
Hispanic,2021-05-30,51899,345640
Native,2021-05-30,5917,57046
Other,2021-05-30,21214,259618
White,2021-05-30,411746,4353880
Asian,2021-06-01,25402,297460
Black,2021-06-01,47389,392850
Hispanic,2021-06-01,51912,345640
Native,2021-06-01,5919,57046
Other,2021-06-01,21231,259618
White,2021-06-01,411830,4353880
Asian,2021-06-02,25411,297460
Black,2021-06-02,47404,392850
Hispanic,2021-06-02,51923,345640
Native,2021-06-02,5923,57046
Other,2021-06-02,21241,259618
White,2021-06-02,411904,4353880
Asian,2021-06-03,25417,297460
Black,2021-06-03,47436,392850
Hispanic,2021-06-03,51953,345640
Native,2021-06-03,5932,57046
Other,2021-06-03,21232,259618
White,2021-06-03,412093,4353880
Asian,2021-06-04,25437,297460
Black,2021-06-04,47466,392850
Hispanic,2021-06-04,51977,345640
Native,2021-06-04,5938,57046
Other,2021-06-04,21244,259618
White,2021-06-04,412270,4353880
Asian,2021-06-05,25448,297460
Black,2021-06-05,47507,392850
Hispanic,2021-06-05,51996,345640
Native,2021-06-05,5943,57046
Other,2021-06-05,21254,259618
White,2021-06-05,412475,4353880
Asian,2021-06-06,25454,297460
Black,2021-06-06,47546,392850
Hispanic,2021-06-06,52021,345640
Native,2021-06-06,5945,57046
Other,2021-06-06,21273,259618
White,2021-06-06,412642,4353880
Asian,2021-06-07,25461,297460
Black,2021-06-07,47571,392850
Hispanic,2021-06-07,52049,345640
Native,2021-06-07,5948,57046
Other,2021-06-07,21276,259618
White,2021-06-07,412756,4353880
Asian,2021-06-08,25464,297460
Black,2021-06-08,47589,392850
Hispanic,2021-06-08,52056,345640
Native,2021-06-08,5949,57046
Other,2021-06-08,21282,259618
White,2021-06-08,412842,4353880
Asian,2021-06-09,25472,297460
Black,2021-06-09,47611,392850
Hispanic,2021-06-09,52068,345640
Native,2021-06-09,5948,57046
Other,2021-06-09,21281,259618
White,2021-06-09,412953,4353880
Asian,2021-06-10,25472,297460
Black,2021-06-10,47628,392850
Hispanic,2021-06-10,52087,345640
Native,2021-06-10,5961,57046
Other,2021-06-10,21280,259618
White,2021-06-10,413089,4353880
Asian,2021-06-11,25483,297460
Black,2021-06-11,47648,392850
Hispanic,2021-06-11,52101,345640
Native,2021-06-11,5966,57046
Other,2021-06-11,21274,259618
White,2021-06-11,413245,4353880
Asian,2021-06-12,25489,297460
Black,2021-06-12,47678,392850
Hispanic,2021-06-12,52112,345640
Native,2021-06-12,5967,57046
Other,2021-06-12,21282,259618
White,2021-06-12,413331,4353880
Asian,2021-06-13,25494,297460
Black,2021-06-13,47694,392850
Hispanic,2021-06-13,52120,345640
Native,2021-06-13,5970,57046
Other,2021-06-13,21273,259618
White,2021-06-13,413466,4353880
Asian,2021-06-14,25497,297460
Black,2021-06-14,47708,392850
Hispanic,2021-06-14,52131,345640
Native,2021-06-14,5971,57046
Other,2021-06-14,21273,259618
White,2021-06-14,413546,4353880
Asian,2021-06-15,25502,297460
Black,2021-06-15,47722,392850
Hispanic,2021-06-15,52138,345640
Native,2021-06-15,5972,57046
Other,2021-06-15,21282,259618
White,2021-06-15,413609,4353880
Asian,2021-06-16,25503,297460
Black,2021-06-16,47741,392850
Hispanic,2021-06-16,52147,345640
Native,2021-06-16,5974,57046
Other,2021-06-16,21274,259618
White,2021-06-16,413699,4353880
Asian,2021-06-17,25508,297460
Black,2021-06-17,47758,392850
Hispanic,2021-06-17,52159,345640
Native,2021-06-17,5974,57046
Other,2021-06-17,21274,259618
White,2021-06-17,413797,4353880
Asian,2021-06-18,25507,297460
Black,2021-06-18,47779,392850
Hispanic,2021-06-18,52171,345640
Native,2021-06-18,5976,57046
Other,2021-06-18,21283,259618
White,2021-06-18,413871,4353880
Asian,2021-06-19,25513,297460
Black,2021-06-19,47793,392850
Hispanic,2021-06-19,52178,345640
Native,2021-06-19,5977,57046
Other,2021-06-19,21294,259618
White,2021-06-19,413954,4353880
Asian,2021-06-20,25518,297460
Black,2021-06-20,47806,392850
Hispanic,2021-06-20,52184,345640
Native,2021-06-20,5978,57046
Other,2021-06-20,21302,259618
White,2021-06-20,414033,4353880
Asian,2021-06-21,25522,297460
Black,2021-06-21,47827,392850
Hispanic,2021-06-21,52195,345640
Native,2021-06-21,5978,57046
Other,2021-06-21,21306,259618
White,2021-06-21,414097,4353880
Asian,2021-06-22,25527,297460
Black,2021-06-22,47841,392850
Hispanic,2021-06-22,52204,345640
Native,2021-06-22,5981,57046
Other,2021-06-22,21305,259618
White,2021-06-22,414147,4353880
Asian,2021-06-23,25529,297460
Black,2021-06-23,47853,392850
Hispanic,2021-06-23,52205,345640
Native,2021-06-23,5981,57046
Other,2021-06-23,21312,259618
White,2021-06-23,414205,4353880
Asian,2021-06-24,25533,297460
Black,2021-06-24,47873,392850
Hispanic,2021-06-24,52213,345640
Native,2021-06-24,5983,57046
Other,2021-06-24,21321,259618
White,2021-06-24,414288,4353880
Asian,2021-06-25,25536,297460
Black,2021-06-25,47889,392850
Hispanic,2021-06-25,52223,345640
Native,2021-06-25,5982,57046
Other,2021-06-25,21333,259618
White,2021-06-25,414337,4353880
Asian,2021-06-26,25537,297460
Black,2021-06-26,47899,392850
Hispanic,2021-06-26,52235,345640
Native,2021-06-26,5981,57046
Other,2021-06-26,21344,259618
White,2021-06-26,414386,4353880
Asian,2021-06-27,25544,297460
Black,2021-06-27,47916,392850
Hispanic,2021-06-27,52243,345640
Native,2021-06-27,5986,57046
Other,2021-06-27,21353,259618
White,2021-06-27,414438,4353880
Asian,2021-06-28,25545,297460
Black,2021-06-28,47940,392850
Hispanic,2021-06-28,52251,345640
Native,2021-06-28,5987,57046
Other,2021-06-28,21359,259618
White,2021-06-28,414478,4353880
Asian,2021-06-29,25547,297460
Black,2021-06-29,47948,392850
Hispanic,2021-06-29,52260,345640
Native,2021-06-29,5988,57046
Other,2021-06-29,21366,259618
White,2021-06-29,414528,4353880
Asian,2021-06-30,25550,297460
Black,2021-06-30,47967,392850
Hispanic,2021-06-30,52266,345640
Native,2021-06-30,5989,57046
Other,2021-06-30,21375,259618
White,2021-06-30,414574,4353880
Asian,2021-07-01,25551,297460
Black,2021-07-01,47974,392850
Hispanic,2021-07-01,52273,345640
Native,2021-07-01,5989,57046
Other,2021-07-01,21382,259618
White,2021-07-01,414647,4353880
Asian,2021-07-02,25557,297460
Black,2021-07-02,47990,392850
Hispanic,2021-07-02,52284,345640
Native,2021-07-02,5992,57046
Other,2021-07-02,21396,259618
White,2021-07-02,414717,4353880
Asian,2021-07-03,25561,297460
Black,2021-07-03,48010,392850
Hispanic,2021-07-03,52288,345640
Native,2021-07-03,5995,57046
Other,2021-07-03,21404,259618
White,2021-07-03,414797,4353880
Asian,2021-07-06,25569,297460
Black,2021-07-06,48035,392850
Hispanic,2021-07-06,52292,345640
Native,2021-07-06,5996,57046
Other,2021-07-06,21410,259618
White,2021-07-06,414881,4353880
Asian,2021-07-07,25578,297460
Black,2021-07-07,48077,392850
Hispanic,2021-07-07,52311,345640
Native,2021-07-07,5998,57046
Other,2021-07-07,21426,259618
White,2021-07-07,415006,4353880
Asian,2021-07-08,25587,297460
Black,2021-07-08,48095,392850
Hispanic,2021-07-08,52319,345640
Native,2021-07-08,6001,57046
Other,2021-07-08,21424,259618
White,2021-07-08,415110,4353880
Asian,2021-07-09,25593,297460
Black,2021-07-09,48122,392850
Hispanic,2021-07-09,52335,345640
Native,2021-07-09,6003,57046
Other,2021-07-09,21425,259618
White,2021-07-09,415196,4353880
Asian,2021-07-12,25599,297460
Black,2021-07-12,48165,392850
Hispanic,2021-07-12,52355,345640
Native,2021-07-12,6005,57046
Other,2021-07-12,21440,259618
White,2021-07-12,415291,4353880
Asian,2021-07-13,25623,297460
Black,2021-07-13,48228,392850
Hispanic,2021-07-13,52373,345640
Native,2021-07-13,6009,57046
Other,2021-07-13,21460,259618
White,2021-07-13,415517,4353880
Asian,2021-07-14,25630,297460
Black,2021-07-14,48264,392850
Hispanic,2021-07-14,52386,345640
Native,2021-07-14,6011,57046
Other,2021-07-14,21469,259618
White,2021-07-14,415633,4353880
Asian,2021-07-15,25636,297460
Black,2021-07-15,48295,392850
Hispanic,2021-07-15,52399,345640
Native,2021-07-15,6016,57046
Other,2021-07-15,21477,259618
White,2021-07-15,415773,4353880
Asian,2021-07-16,25647,297460
Black,2021-07-16,48341,392850
Hispanic,2021-07-16,52415,345640
Native,2021-07-16,6016,57046
Other,2021-07-16,21483,259618
White,2021-07-16,415935,4353880
Asian,2021-07-19,25662,297460
Black,2021-07-19,48382,392850
Hispanic,2021-07-19,52432,345640
Native,2021-07-19,6017,57046
Other,2021-07-19,21495,259618
White,2021-07-19,416095,4353880
Asian,2021-07-20,25680,297460
Black,2021-07-20,48470,392850
Hispanic,2021-07-20,52462,345640
Native,2021-07-20,6024,57046
Other,2021-07-20,21517,259618
White,2021-07-20,416490,4353880
Asian,2021-07-21,25692,297460
Black,2021-07-21,48509,392850
Hispanic,2021-07-21,52486,345640
Native,2021-07-21,6029,57046
Other,2021-07-21,21526,259618
White,2021-07-21,416681,4353880
Asian,2021-07-22,25704,297460
Black,2021-07-22,48544,392850
Hispanic,2021-07-22,52501,345640
Native,2021-07-22,6031,57046
Other,2021-07-22,21533,259618
White,2021-07-22,416963,4353880
Asian,2021-07-23,25722,297460
Black,2021-07-23,48600,392850
Hispanic,2021-07-23,52516,345640
Native,2021-07-23,6034,57046
Other,2021-07-23,21551,259618
White,2021-07-23,417213,4353880
Asian,2021-07-26,25736,297460
Black,2021-07-26,48659,392850
Hispanic,2021-07-26,52545,345640
Native,2021-07-26,6036,57046
Other,2021-07-26,21571,259618
White,2021-07-26,417505,4353880
Asian,2021-07-27,25778,297460
Black,2021-07-27,48783,392850
Hispanic,2021-07-27,52599,345640
Native,2021-07-27,6046,57046
Other,2021-07-27,21604,259618
White,2021-07-27,418191,4353880
Asian,2021-07-28,25798,297460
Black,2021-07-28,48848,392850
Hispanic,2021-07-28,52645,345640
Native,2021-07-28,6051,57046
Other,2021-07-28,21624,259618
White,2021-07-28,418611,4353880
Asian,2021-07-29,25808,297460
Black,2021-07-29,48922,392850
Hispanic,2021-07-29,52671,345640
Native,2021-07-29,6052,57046
Other,2021-07-29,21654,259618
White,2021-07-29,419007,4353880
Asian,2021-07-30,25835,297460
Black,2021-07-30,49007,392850
Hispanic,2021-07-30,52703,345640
Native,2021-07-30,6056,57046
Other,2021-07-30,21702,259618
White,2021-07-30,419479,4353880
Asian,2021-08-02,25860,297460
Black,2021-08-02,49085,392850
Hispanic,2021-08-02,52742,345640
Native,2021-08-02,6064,57046
Other,2021-08-02,21718,259618
White,2021-08-02,419903,4353880
Asian,2021-08-03,25910,297460
Black,2021-08-03,49286,392850
Hispanic,2021-08-03,52827,345640
Native,2021-08-03,6088,57046
Other,2021-08-03,21796,259618
White,2021-08-03,421017,4353880
Asian,2021-08-04,25949,297460
Black,2021-08-04,49375,392850
Hispanic,2021-08-04,52878,345640
Native,2021-08-04,6096,57046
Other,2021-08-04,21826,259618
White,2021-08-04,421638,4353880
Asian,2021-08-05,25985,297460
Black,2021-08-05,49452,392850
Hispanic,2021-08-05,52946,345640
Native,2021-08-05,6106,57046
Other,2021-08-05,21850,259618
White,2021-08-05,422245,4353880
Asian,2021-08-06,26009,297460
Black,2021-08-06,49551,392850
Hispanic,2021-08-06,53018,345640
Native,2021-08-06,6114,57046
Other,2021-08-06,21890,259618
White,2021-08-06,422938,4353880
Asian,2021-08-09,26050,297460
Black,2021-08-09,49689,392850
Hispanic,2021-08-09,53081,345640
Native,2021-08-09,6129,57046
Other,2021-08-09,21931,259618
White,2021-08-09,423678,4353880
Asian,2021-08-10,26109,297460
Black,2021-08-10,49864,392850
Hispanic,2021-08-10,53210,345640
Native,2021-08-10,6151,57046
Other,2021-08-10,22005,259618
White,2021-08-10,424799,4353880
Asian,2021-08-11,26168,297460
Black,2021-08-11,50035,392850
Hispanic,2021-08-11,53325,345640
Native,2021-08-11,6162,57046
Other,2021-08-11,22077,259618
White,2021-08-11,425860,4353880
Asian,2021-08-12,26217,297460
Black,2021-08-12,50139,392850
Hispanic,2021-08-12,53428,345640
Native,2021-08-12,6173,57046
Other,2021-08-12,22135,259618
White,2021-08-12,426743,4353880
Asian,2021-08-13,26255,297460
Black,2021-08-13,50272,392850
Hispanic,2021-08-13,53539,345640
Native,2021-08-13,6187,57046
Other,2021-08-13,22188,259618
White,2021-08-13,427620,4353880
Asian,2021-08-16,26299,297460
Black,2021-08-16,50447,392850
Hispanic,2021-08-16,53635,345640
Native,2021-08-16,6201,57046
Other,2021-08-16,22265,259618
White,2021-08-16,428588,4353880
Asian,2021-08-17,26385,297460
Black,2021-08-17,50735,392850
Hispanic,2021-08-17,53821,345640
Native,2021-08-17,6231,57046
Other,2021-08-17,22369,259618
White,2021-08-17,430624,4353880
Asian,2021-08-18,26434,297460
Black,2021-08-18,50865,392850
Hispanic,2021-08-18,53902,345640
Native,2021-08-18,6245,57046
Other,2021-08-18,22414,259618
White,2021-08-18,431403,4353880
Asian,2021-08-19,26471,297460
Black,2021-08-19,50970,392850
Hispanic,2021-08-19,53969,345640
Native,2021-08-19,6263,57046
Other,2021-08-19,22464,259618
White,2021-08-19,432397,4353880
Asian,2021-08-20,26525,297460
Black,2021-08-20,51110,392850
Hispanic,2021-08-20,54082,345640
Native,2021-08-20,6276,57046
Other,2021-08-20,22537,259618
White,2021-08-20,433594,4353880
Asian,2021-08-23,26583,297460
Black,2021-08-23,51260,392850
Hispanic,2021-08-23,54203,345640
Native,2021-08-23,6305,57046
Other,2021-08-23,22603,259618
White,2021-08-23,434715,4353880
Asian,2021-08-24,26725,297460
Black,2021-08-24,51556,392850
Hispanic,2021-08-24,54459,345640
Native,2021-08-24,6342,57046
Other,2021-08-24,22760,259618
White,2021-08-24,437254,4353880
Asian,2021-08-25,26787,297460
Black,2021-08-25,51682,392850
Hispanic,2021-08-25,54570,345640
Native,2021-08-25,6361,57046
Other,2021-08-25,22802,259618
White,2021-08-25,438193,4353880
Asian,2021-08-26,26847,297460
Black,2021-08-26,51833,392850
Hispanic,2021-08-26,54684,345640
Native,2021-08-26,6392,57046
Other,2021-08-26,22880,259618
White,2021-08-26,439465,4353880
Asian,2021-08-27,26904,297460
Black,2021-08-27,51959,392850
Hispanic,2021-08-27,54819,345640
Native,2021-08-27,6425,57046
Other,2021-08-27,22947,259618
White,2021-08-27,440790,4353880
Asian,2021-08-30,26963,297460
Black,2021-08-30,52096,392850
Hispanic,2021-08-30,54950,345640
Native,2021-08-30,6454,57046
Other,2021-08-30,23016,259618
White,2021-08-30,442151,4353880
Asian,2021-08-31,27101,297460
Black,2021-08-31,52395,392850
Hispanic,2021-08-31,55191,345640
Native,2021-08-31,6507,57046
Other,2021-08-31,23174,259618
White,2021-08-31,444783,4353880
Asian,2021-09-01,27141,297460
Black,2021-09-01,52484,392850
Hispanic,2021-09-01,55265,345640
Native,2021-09-01,6523,57046
Other,2021-09-01,23219,259618
White,2021-09-01,445801,4353880
Asian,2021-09-02,27200,297460
Black,2021-09-02,52610,392850
Hispanic,2021-09-02,55394,345640
Native,2021-09-02,6556,57046
Other,2021-09-02,23301,259618
White,2021-09-02,447164,4353880
Asian,2021-09-03,27254,297460
Black,2021-09-03,52747,392850
Hispanic,2021-09-03,55506,345640
Native,2021-09-03,6578,57046
Other,2021-09-03,23390,259618
White,2021-09-03,448716,4353880
Asian,2021-09-07,27324,297460
Black,2021-09-07,52908,392850
Hispanic,2021-09-07,55626,345640
Native,2021-09-07,6615,57046
Other,2021-09-07,23471,259618
White,2021-09-07,450070,4353880
Asian,2021-09-08,27486,297460
Black,2021-09-08,53293,392850
Hispanic,2021-09-08,55943,345640
Native,2021-09-08,6695,57046
Other,2021-09-08,23740,259618
White,2021-09-08,454051,4353880
Asian,2021-09-09,27514,297460
Black,2021-09-09,53402,392850
Hispanic,2021-09-09,56008,345640
Native,2021-09-09,6728,57046
Other,2021-09-09,23808,259618
White,2021-09-09,454902,4353880
Asian,2021-09-10,27562,297460
Black,2021-09-10,53525,392850
Hispanic,2021-09-10,56121,345640
Native,2021-09-10,6798,57046
Other,2021-09-10,23885,259618
White,2021-09-10,456393,4353880
Asian,2021-09-13,27616,297460
Black,2021-09-13,53698,392850
Hispanic,2021-09-13,56252,345640
Native,2021-09-13,6845,57046
Other,2021-09-13,24000,259618
White,2021-09-13,458371,4353880
Asian,2021-09-14,27728,297460
Black,2021-09-14,54028,392850
Hispanic,2021-09-14,56495,345640
Native,2021-09-14,6901,57046
Other,2021-09-14,24202,259618
White,2021-09-14,461673,4353880
Asian,2021-09-15,27783,297460
Black,2021-09-15,54202,392850
Hispanic,2021-09-15,56628,345640
Native,2021-09-15,6936,57046
Other,2021-09-15,24318,259618
White,2021-09-15,463449,4353880
Asian,2021-09-16,27840,297460
Black,2021-09-16,54326,392850
Hispanic,2021-09-16,56751,345640
Native,2021-09-16,7009,57046
Other,2021-09-16,24431,259618
White,2021-09-16,465218,4353880
Asian,2021-09-17,27915,297460
Black,2021-09-17,54461,392850
Hispanic,2021-09-17,56935,345640
Native,2021-09-17,7065,57046
Other,2021-09-17,24550,259618
White,2021-09-17,467122,4353880
Asian,2021-09-20,27998,297460
Black,2021-09-20,54618,392850
Hispanic,2021-09-20,57067,345640
Native,2021-09-20,7129,57046
Other,2021-09-20,24641,259618
White,2021-09-20,468846,4353880
Asian,2021-09-21,28167,297460
Black,2021-09-21,54998,392850
Hispanic,2021-09-21,57371,345640
Native,2021-09-21,7269,57046
Other,2021-09-21,24894,259618
White,2021-09-21,473386,4353880
Asian,2021-09-22,28231,297460
Black,2021-09-22,55123,392850
Hispanic,2021-09-22,57477,345640
Native,2021-09-22,7318,57046
Other,2021-09-22,24955,259618
White,2021-09-22,474565,4353880
Asian,2021-09-23,28292,297460
Black,2021-09-23,55226,392850
Hispanic,2021-09-23,57586,345640
Native,2021-09-23,7387,57046
Other,2021-09-23,25024,259618
White,2021-09-23,476209,4353880
Asian,2021-09-24,28363,297460
Black,2021-09-24,55366,392850
Hispanic,2021-09-24,57735,345640
Native,2021-09-24,7463,57046
Other,2021-09-24,25141,259618
White,2021-09-24,478290,4353880
Asian,2021-09-27,28448,297460
Black,2021-09-27,55522,392850
Hispanic,2021-09-27,57875,345640
Native,2021-09-27,7511,57046
Other,2021-09-27,25265,259618
White,2021-09-27,480337,4353880
Asian,2021-09-28,28621,297460
Black,2021-09-28,55866,392850
Hispanic,2021-09-28,58152,345640
Native,2021-09-28,7625,57046
Other,2021-09-28,25551,259618
White,2021-09-28,484875,4353880
Asian,2021-09-29,28662,297460
Black,2021-09-29,55986,392850
Hispanic,2021-09-29,58240,345640
Native,2021-09-29,7676,57046
Other,2021-09-29,25616,259618
White,2021-09-29,486373,4353880
Asian,2021-09-30,28730,297460
Black,2021-09-30,56132,392850
Hispanic,2021-09-30,58353,345640
Native,2021-09-30,7760,57046
Other,2021-09-30,25759,259618
White,2021-09-30,488508,4353880
Asian,2021-10-01,28807,297460
Black,2021-10-01,56326,392850
Hispanic,2021-10-01,58512,345640
Native,2021-10-01,7886,57046
Other,2021-10-01,25899,259618
White,2021-10-01,491270,4353880
Asian,2021-10-04,28879,297460
Black,2021-10-04,56487,392850
Hispanic,2021-10-04,58696,345640
Native,2021-10-04,7961,57046
Other,2021-10-04,26047,259618
White,2021-10-04,493874,4353880
Asian,2021-10-05,29052,297460
Black,2021-10-05,56923,392850
Hispanic,2021-10-05,58986,345640
Native,2021-10-05,8087,57046
Other,2021-10-05,26320,259618
White,2021-10-05,499205,4353880
Asian,2021-10-06,29141,297460
Black,2021-10-06,57113,392850
Hispanic,2021-10-06,59141,345640
Native,2021-10-06,8160,57046
Other,2021-10-06,26444,259618
White,2021-10-06,502065,4353880
Asian,2021-10-07,29208,297460
Black,2021-10-07,57211,392850
Hispanic,2021-10-07,59246,345640
Native,2021-10-07,8223,57046
Other,2021-10-07,26551,259618
White,2021-10-07,504080,4353880
Asian,2021-10-08,29270,297460
Black,2021-10-08,57408,392850
Hispanic,2021-10-08,59406,345640
Native,2021-10-08,8304,57046
Other,2021-10-08,26711,259618
White,2021-10-08,506778,4353880
Asian,2021-10-11,29343,297460
Black,2021-10-11,57547,392850
Hispanic,2021-10-11,59562,345640
Native,2021-10-11,8359,57046
Other,2021-10-11,26886,259618
White,2021-10-11,509205,4353880
Asian,2021-10-12,29552,297460
Black,2021-10-12,57939,392850
Hispanic,2021-10-12,59923,345640
Native,2021-10-12,8488,57046
Other,2021-10-12,27237,259618
White,2021-10-12,515059,4353880
Asian,2021-10-13,29602,297460
Black,2021-10-13,58051,392850
Hispanic,2021-10-13,60024,345640
Native,2021-10-13,8535,57046
Other,2021-10-13,27318,259618
White,2021-10-13,516797,4353880
Asian,2021-10-14,29670,297460
Black,2021-10-14,58163,392850
Hispanic,2021-10-14,60147,345640
Native,2021-10-14,8592,57046
Other,2021-10-14,27446,259618
White,2021-10-14,519042,4353880
Asian,2021-10-15,29724,297460
Black,2021-10-15,58321,392850
Hispanic,2021-10-15,60288,345640
Native,2021-10-15,8669,57046
Other,2021-10-15,27589,259618
White,2021-10-15,521523,4353880
Asian,2021-10-18,29797,297460
Black,2021-10-18,58469,392850
Hispanic,2021-10-18,60426,345640
Native,2021-10-18,8724,57046
Other,2021-10-18,27725,259618
White,2021-10-18,523541,4353880
Asian,2021-10-19,29940,297460
Black,2021-10-19,58762,392850
Hispanic,2021-10-19,60719,345640
Native,2021-10-19,8807,57046
Other,2021-10-19,27974,259618
White,2021-10-19,527525,4353880
Asian,2021-10-20,29980,297460
Black,2021-10-20,58857,392850
Hispanic,2021-10-20,60794,345640
Native,2021-10-20,8834,57046
Other,2021-10-20,28043,259618
White,2021-10-20,529095,4353880
Asian,2021-10-21,30050,297460
Black,2021-10-21,58962,392850
Hispanic,2021-10-21,60931,345640
Native,2021-10-21,8878,57046
Other,2021-10-21,28151,259618
White,2021-10-21,530787,4353880
Asian,2021-10-22,30113,297460
Black,2021-10-22,59080,392850
Hispanic,2021-10-22,61046,345640
Native,2021-10-22,8932,57046
Other,2021-10-22,28261,259618
White,2021-10-22,532264,4353880
Asian,2021-10-25,30199,297460
Black,2021-10-25,59223,392850
Hispanic,2021-10-25,61192,345640
Native,2021-10-25,8978,57046
Other,2021-10-25,28451,259618
White,2021-10-25,534466,4353880
Asian,2021-10-26,30401,297460
Black,2021-10-26,59571,392850
Hispanic,2021-10-26,61474,345640
Native,2021-10-26,9076,57046
Other,2021-10-26,28793,259618
White,2021-10-26,539207,4353880
Asian,2021-10-27,30440,297460
Black,2021-10-27,59654,392850
Hispanic,2021-10-27,61543,345640
Native,2021-10-27,9109,57046
Other,2021-10-27,28850,259618
White,2021-10-27,540516,4353880
Asian,2021-10-28,30496,297460
Black,2021-10-28,59765,392850
Hispanic,2021-10-28,61675,345640
Native,2021-10-28,9174,57046
Other,2021-10-28,28980,259618
White,2021-10-28,542448,4353880
Asian,2021-10-29,30599,297460
Black,2021-10-29,59924,392850
Hispanic,2021-10-29,61813,345640
Native,2021-10-29,9226,57046
Other,2021-10-29,29119,259618
White,2021-10-29,544901,4353880
Asian,2021-11-01,30870,297460
Black,2021-11-01,60582,392850
Hispanic,2021-11-01,62405,345640
Native,2021-11-01,9381,57046
Other,2021-11-01,29487,259618
White,2021-11-01,550912,4353880
Asian,2021-11-02,31078,297460
Black,2021-11-02,60915,392850
Hispanic,2021-11-02,62724,345640
Native,2021-11-02,9525,57046
Other,2021-11-02,29886,259618
White,2021-11-02,556025,4353880
Asian,2021-11-03,31163,297460
Black,2021-11-03,61040,392850
Hispanic,2021-11-03,62839,345640
Native,2021-11-03,9572,57046
Other,2021-11-03,30001,259618
White,2021-11-03,558154,4353880
Asian,2021-11-04,31266,297460
Black,2021-11-04,61194,392850
Hispanic,2021-11-04,63010,345640
Native,2021-11-04,9673,57046
Other,2021-11-04,30140,259618
White,2021-11-04,560929,4353880
Asian,2021-11-05,31336,297460
Black,2021-11-05,61326,392850
Hispanic,2021-11-05,63156,345640
Native,2021-11-05,9750,57046
Other,2021-11-05,30319,259618
White,2021-11-05,563433,4353880
Asian,2021-11-08,31478,297460
Black,2021-11-08,61496,392850
Hispanic,2021-11-08,63353,345640
Native,2021-11-08,9821,57046
Other,2021-11-08,30546,259618
White,2021-11-08,566523,4353880
Asian,2021-11-09,31701,297460
Black,2021-11-09,61867,392850
Hispanic,2021-11-09,63692,345640
Native,2021-11-09,9967,57046
Other,2021-11-09,30916,259618
White,2021-11-09,571749,4353880
Asian,2021-11-10,31866,297460
Black,2021-11-10,62132,392850
