age_group,cases,deaths,date
85-89 years,12161,1854,2022-02-14
90-94 years,7380,1559,2022-02-14
95-99 years,2692,741,2022-02-14
100+ years,517,145,2022-02-14
Unknown/missing,89,0,2022-02-14
0-4 years,55573,1,2022-02-15
5-9 years,70832,2,2022-02-15
10-14 years,82143,1,2022-02-15
15-19 years,103846,4,2022-02-15
20-24 years,122362,9,2022-02-15
25-29 years,122746,31,2022-02-15
30-34 years,122697,59,2022-02-15
35-39 years,119441,86,2022-02-15
40-44 years,107764,123,2022-02-15
45-49 years,91003,189,2022-02-15
50-54 years,90833,322,2022-02-15
55-59 years,86847,510,2022-02-15
60-64 years,73915,799,2022-02-15
65-69 years,49314,958,2022-02-15
70-74 years,35458,1258,2022-02-15
75-79 years,24048,1453,2022-02-15
80-84 years,17379,1748,2022-02-15
85-89 years,12231,1862,2022-02-15
90-94 years,7416,1561,2022-02-15
95-99 years,2708,741,2022-02-15
100+ years,518,145,2022-02-15
Unknown/missing,90,0,2022-02-15
0-4 years,55687,1,2022-02-16
5-9 years,70912,2,2022-02-16
10-14 years,82195,1,2022-02-16
15-19 years,103926,4,2022-02-16
20-24 years,122473,9,2022-02-16
25-29 years,122858,31,2022-02-16
30-34 years,122818,59,2022-02-16
35-39 years,119600,86,2022-02-16
40-44 years,107860,123,2022-02-16
45-49 years,91078,190,2022-02-16
50-54 years,90941,323,2022-02-16
55-59 years,86934,514,2022-02-16
60-64 years,74006,801,2022-02-16
65-69 years,49368,962,2022-02-16
70-74 years,35506,1262,2022-02-16
75-79 years,24075,1461,2022-02-16
80-84 years,17397,1751,2022-02-16
85-89 years,12242,1867,2022-02-16
90-94 years,7426,1567,2022-02-16
95-99 years,2712,743,2022-02-16
100+ years,519,146,2022-02-16
Unknown/missing,91,0,2022-02-16
0-4 years,55810,1,2022-02-17
5-9 years,71014,2,2022-02-17
10-14 years,82289,1,2022-02-17
15-19 years,104025,4,2022-02-17
20-24 years,122596,9,2022-02-17
25-29 years,122985,31,2022-02-17
30-34 years,122964,59,2022-02-17
35-39 years,119755,86,2022-02-17
40-44 years,107992,124,2022-02-17
45-49 years,91181,190,2022-02-17
50-54 years,91055,324,2022-02-17
55-59 years,87056,516,2022-02-17
60-64 years,74111,806,2022-02-17
65-69 years,49446,962,2022-02-17
70-74 years,35572,1266,2022-02-17
75-79 years,24132,1464,2022-02-17
80-84 years,17425,1758,2022-02-17
85-89 years,12265,1868,2022-02-17
90-94 years,7439,1569,2022-02-17
95-99 years,2718,744,2022-02-17
100+ years,519,146,2022-02-17
Unknown/missing,90,0,2022-02-17
0-4 years,55978,1,2022-02-18
5-9 years,71118,2,2022-02-18
10-14 years,82381,1,2022-02-18
15-19 years,104156,4,2022-02-18
20-24 years,122771,9,2022-02-18
25-29 years,123142,31,2022-02-18
30-34 years,123147,59,2022-02-18
35-39 years,119944,87,2022-02-18
40-44 years,108165,124,2022-02-18
45-49 years,91300,190,2022-02-18
50-54 years,91173,324,2022-02-18
55-59 years,87195,517,2022-02-18
60-64 years,74236,807,2022-02-18
65-69 years,49543,963,2022-02-18
70-74 years,35660,1272,2022-02-18
75-79 years,24203,1472,2022-02-18
80-84 years,17465,1759,2022-02-18
85-89 years,12295,1873,2022-02-18
90-94 years,7455,1576,2022-02-18
95-99 years,2723,744,2022-02-18
100+ years,520,146,2022-02-18
Unknown/missing,92,0,2022-02-18
0-4 years,56087,1,2022-02-22
5-9 years,71201,2,2022-02-22
10-14 years,82457,1,2022-02-22
15-19 years,104254,4,2022-02-22
20-24 years,122905,9,2022-02-22
25-29 years,123304,31,2022-02-22
30-34 years,123326,60,2022-02-22
35-39 years,120112,87,2022-02-22
40-44 years,108326,125,2022-02-22
45-49 years,91419,190,2022-02-22
50-54 years,91324,324,2022-02-22
55-59 years,87314,517,2022-02-22
60-64 years,74358,812,2022-02-22
65-69 years,49625,966,2022-02-22
70-74 years,35738,1276,2022-02-22
75-79 years,24265,1477,2022-02-22
80-84 years,17496,1760,2022-02-22
85-89 years,12315,1880,2022-02-22
90-94 years,7461,1580,2022-02-22
95-99 years,2732,745,2022-02-22
100+ years,521,146,2022-02-22
Unknown/missing,114,0,2022-02-22
0-4 years,56400,1,2022-02-23
5-9 years,71373,2,2022-02-23
10-14 years,82589,1,2022-02-23
15-19 years,104442,4,2022-02-23
20-24 years,123193,9,2022-02-23
25-29 years,123588,31,2022-02-23
30-34 years,123675,60,2022-02-23
35-39 years,120456,87,2022-02-23
40-44 years,108601,125,2022-02-23
45-49 years,91647,190,2022-02-23
50-54 years,91554,325,2022-02-23
55-59 years,87561,518,2022-02-23
60-64 years,74596,812,2022-02-23
65-69 years,49830,969,2022-02-23
70-74 years,35887,1276,2022-02-23
75-79 years,24376,1482,2022-02-23
80-84 years,17578,1763,2022-02-23
85-89 years,12362,1886,2022-02-23
90-94 years,7492,1585,2022-02-23
95-99 years,2743,746,2022-02-23
100+ years,526,147,2022-02-23
Unknown/missing,114,0,2022-02-23
0-4 years,56495,1,2022-02-24
5-9 years,71427,2,2022-02-24
10-14 years,82631,1,2022-02-24
15-19 years,104485,4,2022-02-24
20-24 years,123257,9,2022-02-24
25-29 years,123647,31,2022-02-24
30-34 years,123752,60,2022-02-24
35-39 years,120552,87,2022-02-24
40-44 years,108671,125,2022-02-24
45-49 years,91694,193,2022-02-24
50-54 years,91608,326,2022-02-24
55-59 years,87636,522,2022-02-24
60-64 years,74650,816,2022-02-24
65-69 years,49882,972,2022-02-24
70-74 years,35938,1279,2022-02-24
75-79 years,24406,1490,2022-02-24
80-84 years,17594,1767,2022-02-24
85-89 years,12385,1895,2022-02-24
90-94 years,7498,1589,2022-02-24
95-99 years,2745,750,2022-02-24
100+ years,526,147,2022-02-24
Unknown/missing,114,0,2022-02-24
0-4 years,56580,1,2022-02-25
5-9 years,71463,2,2022-02-25
10-14 years,82675,1,2022-02-25
15-19 years,104540,4,2022-02-25
20-24 years,123313,9,2022-02-25
25-29 years,123723,31,2022-02-25
30-34 years,123824,60,2022-02-25
35-39 years,120629,87,2022-02-25
40-44 years,108741,125,2022-02-25
45-49 years,91739,193,2022-02-25
50-54 years,91663,327,2022-02-25
55-59 years,87683,523,2022-02-25
60-64 years,74693,818,2022-02-25
65-69 years,49930,974,2022-02-25
70-74 years,35977,1284,2022-02-25
75-79 years,24429,1490,2022-02-25
80-84 years,17607,1768,2022-02-25
85-89 years,12394,1896,2022-02-25
90-94 years,7506,1591,2022-02-25
95-99 years,2747,750,2022-02-25
100+ years,528,147,2022-02-25
Unknown/missing,113,0,2022-02-25
0-4 years,56661,1,2022-02-28
5-9 years,71530,2,2022-02-28
10-14 years,82713,1,2022-02-28
15-19 years,104596,4,2022-02-28
20-24 years,123393,9,2022-02-28
25-29 years,123801,31,2022-02-28
30-34 years,123908,60,2022-02-28
35-39 years,120702,88,2022-02-28
40-44 years,108818,127,2022-02-28
45-49 years,91814,194,2022-02-28
50-54 years,91737,327,2022-02-28
55-59 years,87769,524,2022-02-28
60-64 years,74751,823,2022-02-28
65-69 years,49979,976,2022-02-28
70-74 years,36004,1288,2022-02-28
75-79 years,24459,1492,2022-02-28
80-84 years,17631,1773,2022-02-28
85-89 years,12401,1900,2022-02-28
90-94 years,7520,1591,2022-02-28
95-99 years,2748,751,2022-02-28
100+ years,528,147,2022-02-28
Unknown/missing,113,0,2022-02-28
0-4 years,56818,1,2022-03-01
5-9 years,71620,2,2022-03-01
10-14 years,82794,1,2022-03-01
15-19 years,104694,4,2022-03-01
20-24 years,123529,9,2022-03-01
25-29 years,123985,31,2022-03-01
30-34 years,124082,61,2022-03-01
35-39 years,120857,89,2022-03-01
40-44 years,108957,127,2022-03-01
45-49 years,91921,194,2022-03-01
50-54 years,91844,328,2022-03-01
55-59 years,87909,526,2022-03-01
60-64 years,74876,827,2022-03-01
65-69 years,50099,977,2022-03-01
70-74 years,36077,1289,2022-03-01
75-79 years,24528,1492,2022-03-01
80-84 years,17684,1776,2022-03-01
85-89 years,12446,1904,2022-03-01
90-94 years,7533,1592,2022-03-01
95-99 years,2757,751,2022-03-01
100+ years,530,150,2022-03-01
Unknown/missing,112,0,2022-03-01
0-4 years,56855,1,2022-03-02
5-9 years,71640,2,2022-03-02
10-14 years,82813,1,2022-03-02
15-19 years,104724,4,2022-03-02
20-24 years,123561,9,2022-03-02
25-29 years,124016,31,2022-03-02
30-34 years,124135,61,2022-03-02
35-39 years,120898,89,2022-03-02
40-44 years,108984,127,2022-03-02
45-49 years,91947,194,2022-03-02
50-54 years,91872,328,2022-03-02
55-59 years,87935,526,2022-03-02
60-64 years,74912,827,2022-03-02
65-69 years,50134,980,2022-03-02
70-74 years,36103,1293,2022-03-02
75-79 years,24553,1499,2022-03-02
80-84 years,17707,1778,2022-03-02
85-89 years,12458,1907,2022-03-02
90-94 years,7539,1594,2022-03-02
95-99 years,2760,751,2022-03-02
100+ years,533,150,2022-03-02
Unknown/missing,112,0,2022-03-02
0-4 years,56930,1,2022-03-03
5-9 years,71691,2,2022-03-03
10-14 years,82849,1,2022-03-03
15-19 years,104760,4,2022-03-03
20-24 years,123607,9,2022-03-03
25-29 years,124067,31,2022-03-03
30-34 years,124196,61,2022-03-03
35-39 years,120968,89,2022-03-03
40-44 years,109036,128,2022-03-03
45-49 years,91997,194,2022-03-03
50-54 years,91922,329,2022-03-03
55-59 years,87971,528,2022-03-03
60-64 years,74974,830,2022-03-03
65-69 years,50177,981,2022-03-03
70-74 years,36140,1294,2022-03-03
75-79 years,24575,1501,2022-03-03
80-84 years,17729,1783,2022-03-03
85-89 years,12471,1909,2022-03-03
90-94 years,7546,1595,2022-03-03
95-99 years,2763,752,2022-03-03
100+ years,534,150,2022-03-03
Unknown/missing,112,0,2022-03-03
0-4 years,56999,1,2022-03-04
5-9 years,71727,2,2022-03-04
10-14 years,82893,1,2022-03-04
15-19 years,104809,4,2022-03-04
20-24 years,123665,9,2022-03-04
25-29 years,124130,32,2022-03-04
30-34 years,124272,61,2022-03-04
35-39 years,121014,89,2022-03-04
40-44 years,109089,128,2022-03-04
45-49 years,92040,195,2022-03-04
50-54 years,91967,330,2022-03-04
55-59 years,88017,528,2022-03-04
60-64 years,75003,833,2022-03-04
65-69 years,50214,981,2022-03-04
70-74 years,36169,1295,2022-03-04
75-79 years,24605,1502,2022-03-04
80-84 years,17749,1785,2022-03-04
85-89 years,12483,1909,2022-03-04
90-94 years,7554,1596,2022-03-04
95-99 years,2765,752,2022-03-04
100+ years,535,150,2022-03-04
Unknown/missing,112,0,2022-03-04
0-4 years,57047,1,2022-03-07
5-9 years,71762,2,2022-03-07
10-14 years,82930,1,2022-03-07
15-19 years,104858,4,2022-03-07
20-24 years,123741,9,2022-03-07
25-29 years,124194,32,2022-03-07
30-34 years,124337,61,2022-03-07
35-39 years,121101,89,2022-03-07
40-44 years,109170,128,2022-03-07
45-49 years,92091,195,2022-03-07
50-54 years,92006,331,2022-03-07
55-59 years,88075,529,2022-03-07
60-64 years,75045,836,2022-03-07
65-69 years,50247,984,2022-03-07
70-74 years,36209,1297,2022-03-07
75-79 years,24636,1504,2022-03-07
80-84 years,17768,1788,2022-03-07
85-89 years,12495,1912,2022-03-07
90-94 years,7562,1596,2022-03-07
95-99 years,2770,752,2022-03-07
100+ years,538,150,2022-03-07
Unknown/missing,112,0,2022-03-07
0-4 years,57161,1,2022-03-08
5-9 years,71842,2,2022-03-08
10-14 years,82997,1,2022-03-08
15-19 years,104946,4,2022-03-08
20-24 years,123864,10,2022-03-08
25-29 years,124301,32,2022-03-08
30-34 years,124456,63,2022-03-08
35-39 years,121228,89,2022-03-08
40-44 years,109252,128,2022-03-08
45-49 years,92157,195,2022-03-08
50-54 years,92064,331,2022-03-08
55-59 years,88167,529,2022-03-08
60-64 years,75128,839,2022-03-08
65-69 years,50329,984,2022-03-08
70-74 years,36260,1300,2022-03-08
75-79 years,24677,1504,2022-03-08
80-84 years,17804,1792,2022-03-08
85-89 years,12516,1916,2022-03-08
90-94 years,7574,1597,2022-03-08
95-99 years,2775,753,2022-03-08
100+ years,538,151,2022-03-08
Unknown/missing,113,0,2022-03-08
0-4 years,57201,1,2022-03-09
5-9 years,71879,2,2022-03-09
10-14 years,83015,1,2022-03-09
15-19 years,104973,4,2022-03-09
20-24 years,123912,11,2022-03-09
25-29 years,124339,32,2022-03-09
30-34 years,124497,63,2022-03-09
35-39 years,121279,89,2022-03-09
40-44 years,109287,128,2022-03-09
45-49 years,92182,196,2022-03-09
50-54 years,92096,331,2022-03-09
55-59 years,88202,529,2022-03-09
60-64 years,75164,842,2022-03-09
65-69 years,50357,985,2022-03-09
70-74 years,36285,1303,2022-03-09
75-79 years,24700,1505,2022-03-09
80-84 years,17822,1795,2022-03-09
85-89 years,12523,1918,2022-03-09
90-94 years,7580,1598,2022-03-09
95-99 years,2776,754,2022-03-09
100+ years,538,151,2022-03-09
Unknown/missing,113,0,2022-03-09
0-4 years,57244,1,2022-03-10
5-9 years,71915,2,2022-03-10
10-14 years,83045,1,2022-03-10
15-19 years,105013,4,2022-03-10
20-24 years,123952,11,2022-03-10
25-29 years,124382,32,2022-03-10
30-34 years,124538,63,2022-03-10
35-39 years,121338,89,2022-03-10
40-44 years,109322,128,2022-03-10
45-49 years,92204,196,2022-03-10
50-54 years,92128,331,2022-03-10
55-59 years,88241,530,2022-03-10
60-64 years,75187,842,2022-03-10
65-69 years,50393,988,2022-03-10
70-74 years,36306,1305,2022-03-10
75-79 years,24722,1506,2022-03-10
80-84 years,17839,1797,2022-03-10
85-89 years,12529,1921,2022-03-10
90-94 years,7585,1602,2022-03-10
95-99 years,2778,754,2022-03-10
100+ years,538,152,2022-03-10
Unknown/missing,113,0,2022-03-10
0-4 years,57320,1,2022-03-11
5-9 years,71944,2,2022-03-11
10-14 years,83071,1,2022-03-11
15-19 years,105050,4,2022-03-11
20-24 years,123999,11,2022-03-11
25-29 years,124414,32,2022-03-11
30-34 years,124586,63,2022-03-11
35-39 years,121375,89,2022-03-11
40-44 years,109353,128,2022-03-11
45-49 years,92233,197,2022-03-11
50-54 years,92151,332,2022-03-11
55-59 years,88274,531,2022-03-11
60-64 years,75216,842,2022-03-11
65-69 years,50414,989,2022-03-11
70-74 years,36326,1306,2022-03-11
75-79 years,24734,1507,2022-03-11
80-84 years,17850,1798,2022-03-11
85-89 years,12535,1922,2022-03-11
90-94 years,7592,1603,2022-03-11
95-99 years,2780,754,2022-03-11
100+ years,539,152,2022-03-11
Unknown/missing,113,0,2022-03-11
0-4 years,57352,1,2022-03-14
5-9 years,71965,2,2022-03-14
10-14 years,83092,1,2022-03-14
15-19 years,105080,4,2022-03-14
20-24 years,124032,11,2022-03-14
25-29 years,124438,32,2022-03-14
30-34 years,124635,63,2022-03-14
35-39 years,121410,89,2022-03-14
40-44 years,109388,128,2022-03-14
45-49 years,92253,198,2022-03-14
50-54 years,92182,332,2022-03-14
55-59 years,88307,532,2022-03-14
60-64 years,75243,844,2022-03-14
65-69 years,50430,990,2022-03-14
70-74 years,36344,1306,2022-03-14
75-79 years,24748,1509,2022-03-14
80-84 years,17868,1798,2022-03-14
85-89 years,12547,1925,2022-03-14
90-94 years,7600,1606,2022-03-14
95-99 years,2782,757,2022-03-14
100+ years,539,152,2022-03-14
Unknown/missing,109,0,2022-03-14
0-4 years,57371,1,2022-03-15
5-9 years,71982,2,2022-03-15
10-14 years,83104,1,2022-03-15
15-19 years,105116,4,2022-03-15
20-24 years,124074,11,2022-03-15
25-29 years,124467,32,2022-03-15
30-34 years,124656,63,2022-03-15
35-39 years,121444,89,2022-03-15
40-44 years,109422,128,2022-03-15
45-49 years,92285,198,2022-03-15
50-54 years,92210,333,2022-03-15
55-59 years,88340,535,2022-03-15
60-64 years,75273,844,2022-03-15
65-69 years,50449,990,2022-03-15
70-74 years,36368,1308,2022-03-15
75-79 years,24768,1510,2022-03-15
80-84 years,17878,1799,2022-03-15
85-89 years,12564,1926,2022-03-15
90-94 years,7610,1606,2022-03-15
95-99 years,2785,757,2022-03-15
100+ years,539,152,2022-03-15
Unknown/missing,110,0,2022-03-15
0-4 years,57432,1,2022-03-16
5-9 years,72027,2,2022-03-16
10-14 years,83141,1,2022-03-16
15-19 years,105160,4,2022-03-16
20-24 years,124155,11,2022-03-16
25-29 years,124523,32,2022-03-16
30-34 years,124715,63,2022-03-16
35-39 years,121511,90,2022-03-16
40-44 years,109491,128,2022-03-16
45-49 years,92330,198,2022-03-16
50-54 years,92256,333,2022-03-16
55-59 years,88391,535,2022-03-16
60-64 years,75327,845,2022-03-16
65-69 years,50505,992,2022-03-16
70-74 years,36404,1308,2022-03-16
75-79 years,24788,1513,2022-03-16
80-84 years,17897,1802,2022-03-16
85-89 years,12576,1927,2022-03-16
90-94 years,7618,1608,2022-03-16
95-99 years,2787,757,2022-03-16
100+ years,539,152,2022-03-16
Unknown/missing,110,0,2022-03-16
0-4 years,57459,1,2022-03-17
5-9 years,72040,2,2022-03-17
10-14 years,83161,1,2022-03-17
15-19 years,105176,4,2022-03-17
20-24 years,124196,11,2022-03-17
25-29 years,124557,32,2022-03-17
30-34 years,124751,63,2022-03-17
35-39 years,121549,90,2022-03-17
40-44 years,109513,128,2022-03-17
45-49 years,92354,198,2022-03-17
50-54 years,92277,334,2022-03-17
55-59 years,88416,535,2022-03-17
60-64 years,75354,846,2022-03-17
65-69 years,50526,993,2022-03-17
70-74 years,36423,1309,2022-03-17
75-79 years,24804,1514,2022-03-17
80-84 years,17908,1802,2022-03-17
85-89 years,12581,1929,2022-03-17
90-94 years,7624,1610,2022-03-17
95-99 years,2789,758,2022-03-17
100+ years,539,152,2022-03-17
Unknown/missing,110,0,2022-03-17
0-4 years,57501,1,2022-03-18
5-9 years,72072,2,2022-03-18
10-14 years,83178,1,2022-03-18
15-19 years,105200,4,2022-03-18
20-24 years,124240,11,2022-03-18
25-29 years,124588,32,2022-03-18
30-34 years,124787,63,2022-03-18
35-39 years,121598,90,2022-03-18
40-44 years,109541,128,2022-03-18
45-49 years,92374,198,2022-03-18
50-54 years,92304,334,2022-03-18
55-59 years,88439,536,2022-03-18
60-64 years,75387,846,2022-03-18
65-69 years,50549,995,2022-03-18
70-74 years,36442,1312,2022-03-18
75-79 years,24821,1517,2022-03-18
80-84 years,17924,1802,2022-03-18
85-89 years,12593,1929,2022-03-18
90-94 years,7634,1610,2022-03-18
95-99 years,2793,758,2022-03-18
100+ years,538,152,2022-03-18
Unknown/missing,110,0,2022-03-18
0-4 years,57534,1,2022-03-21
5-9 years,72094,2,2022-03-21
10-14 years,83199,1,2022-03-21
15-19 years,105220,4,2022-03-21
20-24 years,124279,11,2022-03-21
25-29 years,124629,32,2022-03-21
30-34 years,124817,63,2022-03-21
35-39 years,121630,90,2022-03-21
40-44 years,109564,128,2022-03-21
45-49 years,92388,198,2022-03-21
50-54 years,92338,335,2022-03-21
55-59 years,88462,537,2022-03-21
60-64 years,75407,846,2022-03-21
65-69 years,50565,995,2022-03-21
70-74 years,36456,1312,2022-03-21
75-79 years,24833,1517,2022-03-21
80-84 years,17931,1805,2022-03-21
85-89 years,12601,1930,2022-03-21
90-94 years,7642,1611,2022-03-21
95-99 years,2795,758,2022-03-21
100+ years,538,152,2022-03-21
Unknown/missing,110,0,2022-03-21
0-4 years,57617,1,2022-03-22
5-9 years,72130,2,2022-03-22
10-14 years,83245,1,2022-03-22
15-19 years,105257,4,2022-03-22
20-24 years,124350,11,2022-03-22
25-29 years,124709,32,2022-03-22
30-34 years,124898,64,2022-03-22
35-39 years,121719,90,2022-03-22
40-44 years,109634,128,2022-03-22
45-49 years,92445,198,2022-03-22
50-54 years,92393,335,2022-03-22
55-59 years,88532,538,2022-03-22
60-64 years,75464,848,2022-03-22
65-69 years,50614,996,2022-03-22
70-74 years,36501,1313,2022-03-22
75-79 years,24869,1518,2022-03-22
80-84 years,17953,1806,2022-03-22
85-89 years,12621,1934,2022-03-22
90-94 years,7654,1611,2022-03-22
95-99 years,2802,758,2022-03-22
100+ years,538,152,2022-03-22
Unknown/missing,111,0,2022-03-22
0-4 years,57638,1,2022-03-23
5-9 years,72136,2,2022-03-23
10-14 years,83251,1,2022-03-23
15-19 years,105269,4,2022-03-23
20-24 years,124361,11,2022-03-23
25-29 years,124730,32,2022-03-23
30-34 years,124928,65,2022-03-23
35-39 years,121740,90,2022-03-23
40-44 years,109652,128,2022-03-23
45-49 years,92456,198,2022-03-23
50-54 years,92407,336,2022-03-23
55-59 years,88552,538,2022-03-23
60-64 years,75481,848,2022-03-23
65-69 years,50630,996,2022-03-23
70-74 years,36518,1313,2022-03-23
75-79 years,24882,1518,2022-03-23
80-84 years,17956,1806,2022-03-23
85-89 years,12632,1934,2022-03-23
90-94 years,7656,1611,2022-03-23
95-99 years,2802,758,2022-03-23
100+ years,538,152,2022-03-23
Unknown/missing,111,0,2022-03-23
0-4 years,57671,1,2022-03-24
5-9 years,72147,2,2022-03-24
10-14 years,83276,1,2022-03-24
15-19 years,105294,4,2022-03-24
20-24 years,124396,11,2022-03-24
25-29 years,124760,32,2022-03-24
30-34 years,124961,65,2022-03-24
35-39 years,121783,90,2022-03-24
40-44 years,109685,129,2022-03-24
45-49 years,92480,198,2022-03-24
50-54 years,92436,336,2022-03-24
55-59 years,88585,539,2022-03-24
60-64 years,75505,848,2022-03-24
65-69 years,50655,997,2022-03-24
70-74 years,36540,1314,2022-03-24
75-79 years,24896,1523,2022-03-24
80-84 years,17966,1809,2022-03-24
85-89 years,12636,1937,2022-03-24
90-94 years,7659,1613,2022-03-24
95-99 years,2805,760,2022-03-24
100+ years,539,153,2022-03-24
Unknown/missing,112,0,2022-03-24
0-4 years,57702,1,2022-03-25
5-9 years,72165,2,2022-03-25
10-14 years,83284,1,2022-03-25
15-19 years,105329,4,2022-03-25
20-24 years,124433,12,2022-03-25
25-29 years,124807,32,2022-03-25
30-34 years,125012,65,2022-03-25
35-39 years,121814,90,2022-03-25
40-44 years,109714,130,2022-03-25
45-49 years,92505,198,2022-03-25
50-54 years,92474,336,2022-03-25
55-59 years,88613,540,2022-03-25
60-64 years,75538,848,2022-03-25
65-69 years,50681,997,2022-03-25
70-74 years,36554,1314,2022-03-25
75-79 years,24910,1523,2022-03-25
80-84 years,17977,1811,2022-03-25
85-89 years,12642,1938,2022-03-25
90-94 years,7660,1614,2022-03-25
95-99 years,2805,760,2022-03-25
100+ years,539,153,2022-03-25
Unknown/missing,112,0,2022-03-25
0-4 years,57728,1,2022-03-28
5-9 years,72185,2,2022-03-28
10-14 years,83296,1,2022-03-28
15-19 years,105349,4,2022-03-28
20-24 years,124466,12,2022-03-28
25-29 years,124854,32,2022-03-28
30-34 years,125051,65,2022-03-28
35-39 years,121852,92,2022-03-28
40-44 years,109749,131,2022-03-28
45-49 years,92533,198,2022-03-28
50-54 years,92506,336,2022-03-28
55-59 years,88642,541,2022-03-28
60-64 years,75572,849,2022-03-28
65-69 years,50701,998,2022-03-28
70-74 years,36567,1314,2022-03-28
75-79 years,24921,1527,2022-03-28
80-84 years,17990,1811,2022-03-28
85-89 years,12649,1940,2022-03-28
90-94 years,7665,1614,2022-03-28
95-99 years,2808,761,2022-03-28
100+ years,539,153,2022-03-28
Unknown/missing,111,0,2022-03-28
0-4 years,57784,1,2022-03-29
5-9 years,72216,2,2022-03-29
10-14 years,83319,1,2022-03-29
15-19 years,105387,4,2022-03-29
20-24 years,124533,12,2022-03-29
25-29 years,124934,32,2022-03-29
30-34 years,125146,65,2022-03-29
35-39 years,121947,92,2022-03-29
40-44 years,109814,131,2022-03-29
45-49 years,92587,198,2022-03-29
50-54 years,92574,336,2022-03-29
55-59 years,88703,541,2022-03-29
60-64 years,75639,849,2022-03-29
65-69 years,50754,998,2022-03-29
70-74 years,36605,1317,2022-03-29
75-79 years,24959,1530,2022-03-29
80-84 years,18010,1811,2022-03-29
85-89 years,12661,1940,2022-03-29
90-94 years,7671,1616,2022-03-29
95-99 years,2809,761,2022-03-29
100+ years,541,153,2022-03-29
Unknown/missing,111,0,2022-03-29
0-4 years,57801,1,2022-03-30
5-9 years,72228,2,2022-03-30
10-14 years,83328,1,2022-03-30
15-19 years,105410,4,2022-03-30
20-24 years,124562,12,2022-03-30
25-29 years,124961,32,2022-03-30
30-34 years,125179,65,2022-03-30
35-39 years,121975,92,2022-03-30
40-44 years,109840,131,2022-03-30
45-49 years,92606,199,2022-03-30
50-54 years,92590,336,2022-03-30
55-59 years,88722,541,2022-03-30
60-64 years,75662,852,2022-03-30
65-69 years,50770,998,2022-03-30
70-74 years,36628,1321,2022-03-30
75-79 years,24969,1532,2022-03-30
80-84 years,18019,1811,2022-03-30
85-89 years,12663,1941,2022-03-30
90-94 years,7675,1616,2022-03-30
95-99 years,2811,761,2022-03-30
100+ years,541,153,2022-03-30
Unknown/missing,111,0,2022-03-30
0-4 years,57830,1,2022-03-31
5-9 years,72246,2,2022-03-31
10-14 years,83348,1,2022-03-31
15-19 years,105426,4,2022-03-31
20-24 years,124608,12,2022-03-31
25-29 years,125014,32,2022-03-31
30-34 years,125213,65,2022-03-31
35-39 years,122011,92,2022-03-31
40-44 years,109879,131,2022-03-31
45-49 years,92633,199,2022-03-31
50-54 years,92619,336,2022-03-31
55-59 years,88749,541,2022-03-31
60-64 years,75700,854,2022-03-31
65-69 years,50790,999,2022-03-31
70-74 years,36655,1322,2022-03-31
75-79 years,24986,1533,2022-03-31
80-84 years,18026,1813,2022-03-31
85-89 years,12672,1941,2022-03-31
90-94 years,7681,1616,2022-03-31
95-99 years,2812,761,2022-03-31
100+ years,541,153,2022-03-31
Unknown/missing,111,0,2022-03-31
0-4 years,57862,1,2022-04-01
5-9 years,72265,2,2022-04-01
10-14 years,83371,1,2022-04-01
15-19 years,105458,4,2022-04-01
20-24 years,124641,12,2022-04-01
25-29 years,125072,32,2022-04-01
30-34 years,125272,65,2022-04-01
35-39 years,122066,92,2022-04-01
40-44 years,109911,131,2022-04-01
45-49 years,92661,200,2022-04-01
50-54 years,92652,336,2022-04-01
55-59 years,88770,541,2022-04-01
60-64 years,75734,854,2022-04-01
65-69 years,50817,999,2022-04-01
70-74 years,36674,1322,2022-04-01
75-79 years,25004,1533,2022-04-01
80-84 years,18037,1814,2022-04-01
85-89 years,12675,1941,2022-04-01
90-94 years,7683,1616,2022-04-01
95-99 years,2812,761,2022-04-01
100+ years,541,153,2022-04-01
Unknown/missing,111,0,2022-04-01
0-4 years,57892,1,2022-04-04
5-9 years,72280,2,2022-04-04
10-14 years,83384,1,2022-04-04
15-19 years,105470,4,2022-04-04
20-24 years,124685,12,2022-04-04
25-29 years,125115,32,2022-04-04
30-34 years,125329,65,2022-04-04
35-39 years,122098,92,2022-04-04
40-44 years,109939,131,2022-04-04
45-49 years,92697,200,2022-04-04
50-54 years,92678,336,2022-04-04
55-59 years,88798,541,2022-04-04
60-64 years,75760,854,2022-04-04
65-69 years,50832,999,2022-04-04
70-74 years,36693,1323,2022-04-04
75-79 years,25023,1535,2022-04-04
80-84 years,18049,1815,2022-04-04
85-89 years,12681,1941,2022-04-04
90-94 years,7688,1617,2022-04-04
95-99 years,2813,761,2022-04-04
100+ years,541,153,2022-04-04
Unknown/missing,111,0,2022-04-04
0-4 years,57967,1,2022-04-05
5-9 years,72321,2,2022-04-05
10-14 years,83423,1,2022-04-05
15-19 years,105518,4,2022-04-05
20-24 years,124763,12,2022-04-05
25-29 years,125210,32,2022-04-05
30-34 years,125424,65,2022-04-05
35-39 years,122191,92,2022-04-05
40-44 years,110017,131,2022-04-05
45-49 years,92765,200,2022-04-05
50-54 years,92753,337,2022-04-05
55-59 years,88855,541,2022-04-05
60-64 years,75826,855,2022-04-05
65-69 years,50883,999,2022-04-05
70-74 years,36734,1324,2022-04-05
75-79 years,25058,1535,2022-04-05
