date,day,new_hosp,new_icu,new_deaths,new_cases,new_nonicu,cases_complete,deaths_complete
2023-01-18,Wednesday,52.857142857142854,8.285714285714286,7.857142857142857,554.8571428571429,44.57142857142857,TRUE,TRUE
2023-01-19,Thursday,52.57142857142857,9.285714285714286,8.285714285714286,557.5714285714286,43.285714285714285,TRUE,TRUE
2023-01-20,Friday,50.857142857142854,9.142857142857142,8.857142857142858,568.2857142857143,41.714285714285715,TRUE,TRUE
2023-01-21,Saturday,49.857142857142854,8.857142857142858,9.428571428571429,578.4285714285714,41,TRUE,TRUE
2023-01-22,Sunday,50.42857142857143,10.142857142857142,8.571428571428571,580,40.285714285714285,TRUE,TRUE
2023-01-23,Monday,47.714285714285715,9.857142857142858,8.571428571428571,587.4285714285714,37.857142857142854,TRUE,TRUE
2023-01-24,Tuesday,48.142857142857146,9.285714285714286,8.142857142857142,596.5714285714286,38.857142857142854,TRUE,TRUE
2023-01-25,Wednesday,48.857142857142854,9,7.285714285714286,613.8571428571429,39.857142857142854,TRUE,TRUE
2023-01-26,Thursday,49,8.428571428571429,6.285714285714286,622.4285714285714,40.57142857142857,TRUE,TRUE
2023-01-27,Friday,52.142857142857146,8.857142857142858,6,625.4285714285714,43.285714285714285,TRUE,TRUE
2023-01-28,Saturday,53.714285714285715,8.714285714285714,5.428571428571429,627.1428571428571,45,TRUE,TRUE
2023-01-29,Sunday,53.285714285714285,7.714285714285714,5.285714285714286,626.7142857142857,45.57142857142857,TRUE,TRUE
2023-01-30,Monday,56.142857142857146,8.142857142857142,5.285714285714286,648.5714285714286,48,TRUE,TRUE
2023-01-31,Tuesday,53.42857142857143,7.142857142857143,5.142857142857143,645.4285714285714,46.285714285714285,TRUE,TRUE
2023-02-01,Wednesday,53.714285714285715,6.714285714285714,5.285714285714286,633.7142857142857,47,TRUE,TRUE
2023-02-02,Thursday,53.142857142857146,6.714285714285714,5.714285714285714,637.1428571428571,46.42857142857143,TRUE,TRUE
2023-02-03,Friday,48.857142857142854,5.857142857142857,5.714285714285714,634.7142857142857,43,TRUE,TRUE
2023-02-04,Saturday,48.57142857142857,6.142857142857143,5.428571428571429,636.5714285714286,42.42857142857143,TRUE,TRUE
2023-02-05,Sunday,50.42857142857143,6.428571428571429,5.571428571428571,636,44,TRUE,TRUE
