year,week,age_group,new_cases,mmwr_startdate,mmwr_enddate,pop_size,F3,F5,F6,new_cases_percap,outcome,report_date
2020,28,Total,4435,2020-07-05,2020-07-11,5562663,NA,NA,NA,79.728,case,2023-06-01
2020,29,0-4,71,2020-07-12,2020-07-18,351664,NA,NA,NA,20.19,case,2023-06-01
2020,29,12-17,380,2020-07-12,2020-07-18,433734,NA,NA,NA,87.611,case,2023-06-01
2020,29,18-49,2928,2020-07-12,2020-07-18,2294817,NA,NA,NA,127.592,case,2023-06-01
2020,29,5-11,138,2020-07-12,2020-07-18,509735,NA,NA,NA,27.073,case,2023-06-01
2020,29,50-64,755,2020-07-12,2020-07-18,1114015,NA,NA,NA,67.773,case,2023-06-01
2020,29,65-74,208,2020-07-12,2020-07-18,490739,NA,NA,NA,42.385,case,2023-06-01
2020,29,75-84,89,2020-07-12,2020-07-18,252053,NA,NA,NA,35.31,case,2023-06-01
2020,29,85+,51,2020-07-12,2020-07-18,115906,NA,NA,NA,44.001,case,2023-06-01
2020,29,Total,4620,2020-07-12,2020-07-18,5562663,NA,NA,NA,83.054,case,2023-06-01
2020,30,0-4,110,2020-07-19,2020-07-25,351664,NA,NA,NA,31.28,case,2023-06-01
2020,30,12-17,370,2020-07-19,2020-07-25,433734,NA,NA,NA,85.306,case,2023-06-01
2020,30,18-49,2981,2020-07-19,2020-07-25,2294817,NA,NA,NA,129.901,case,2023-06-01
2020,30,5-11,174,2020-07-19,2020-07-25,509735,NA,NA,NA,34.135,case,2023-06-01
2020,30,50-64,743,2020-07-19,2020-07-25,1114015,NA,NA,NA,66.696,case,2023-06-01
2020,30,65-74,235,2020-07-19,2020-07-25,490739,NA,NA,NA,47.887,case,2023-06-01
2020,30,75-84,88,2020-07-19,2020-07-25,252053,NA,NA,NA,34.913,case,2023-06-01
2020,30,85+,66,2020-07-19,2020-07-25,115906,NA,NA,NA,56.943,case,2023-06-01
2020,30,Total,4767,2020-07-19,2020-07-25,5562663,NA,NA,NA,85.696,case,2023-06-01
2020,31,0-4,125,2020-07-26,2020-08-01,351664,NA,NA,NA,35.545,case,2023-06-01
2020,31,12-17,340,2020-07-26,2020-08-01,433734,NA,NA,NA,78.389,case,2023-06-01
2020,31,18-49,2857,2020-07-26,2020-08-01,2294817,NA,NA,NA,124.498,case,2023-06-01
2020,31,5-11,149,2020-07-26,2020-08-01,509735,NA,NA,NA,29.231,case,2023-06-01
2020,31,50-64,872,2020-07-26,2020-08-01,1114015,NA,NA,NA,78.275,case,2023-06-01
2020,31,65-74,260,2020-07-26,2020-08-01,490739,NA,NA,NA,52.981,case,2023-06-01
2020,31,75-84,138,2020-07-26,2020-08-01,252053,NA,NA,NA,54.75,case,2023-06-01
2020,31,85+,69,2020-07-26,2020-08-01,115906,NA,NA,NA,59.531,case,2023-06-01
2020,31,Total,4810,2020-07-26,2020-08-01,5562663,NA,NA,NA,86.469,case,2023-06-01
2020,32,0-4,103,2020-08-02,2020-08-08,351664,NA,NA,NA,29.289,case,2023-06-01
2020,32,12-17,402,2020-08-02,2020-08-08,433734,NA,NA,NA,92.684,case,2023-06-01
2020,32,18-49,2596,2020-08-02,2020-08-08,2294817,NA,NA,NA,113.124,case,2023-06-01
2020,32,5-11,167,2020-08-02,2020-08-08,509735,NA,NA,NA,32.762,case,2023-06-01
2020,32,50-64,737,2020-08-02,2020-08-08,1114015,NA,NA,NA,66.157,case,2023-06-01
2020,32,65-74,219,2020-08-02,2020-08-08,490739,NA,NA,NA,44.627,case,2023-06-01
2020,32,75-84,148,2020-08-02,2020-08-08,252053,NA,NA,NA,58.718,case,2023-06-01
2020,32,85+,88,2020-08-02,2020-08-08,115906,NA,NA,NA,75.924,case,2023-06-01
2020,32,Total,4460,2020-08-02,2020-08-08,5562663,NA,NA,NA,80.177,case,2023-06-01
2020,33,0-4,91,2020-08-09,2020-08-15,351664,NA,NA,NA,25.877,case,2023-06-01
2020,33,12-17,387,2020-08-09,2020-08-15,433734,NA,NA,NA,89.225,case,2023-06-01
2020,33,18-49,2517,2020-08-09,2020-08-15,2294817,NA,NA,NA,109.682,case,2023-06-01
2020,33,5-11,185,2020-08-09,2020-08-15,509735,NA,NA,NA,36.293,case,2023-06-01
2020,33,50-64,718,2020-08-09,2020-08-15,1114015,NA,NA,NA,64.452,case,2023-06-01
2020,33,65-74,230,2020-08-09,2020-08-15,490739,NA,NA,NA,46.868,case,2023-06-01
2020,33,75-84,139,2020-08-09,2020-08-15,252053,NA,NA,NA,55.147,case,2023-06-01
2020,33,85+,108,2020-08-09,2020-08-15,115906,NA,NA,NA,93.179,case,2023-06-01
2020,33,Total,4375,2020-08-09,2020-08-15,5562663,NA,NA,NA,78.649,case,2023-06-01
2020,34,0-4,113,2020-08-16,2020-08-22,351664,NA,NA,NA,32.133,case,2023-06-01
2020,34,12-17,358,2020-08-16,2020-08-22,433734,NA,NA,NA,82.539,case,2023-06-01
2020,34,18-49,2745,2020-08-16,2020-08-22,2294817,NA,NA,NA,119.617,case,2023-06-01
2020,34,5-11,180,2020-08-16,2020-08-22,509735,NA,NA,NA,35.312,case,2023-06-01
2020,34,50-64,858,2020-08-16,2020-08-22,1114015,NA,NA,NA,77.019,case,2023-06-01
2020,34,65-74,272,2020-08-16,2020-08-22,490739,NA,NA,NA,55.427,case,2023-06-01
2020,34,75-84,161,2020-08-16,2020-08-22,252053,NA,NA,NA,63.875,case,2023-06-01
2020,34,85+,139,2020-08-16,2020-08-22,115906,NA,NA,NA,119.925,case,2023-06-01
2020,34,Total,4826,2020-08-16,2020-08-22,5562663,NA,NA,NA,86.757,case,2023-06-01
2020,35,0-4,113,2020-08-23,2020-08-29,351664,NA,NA,NA,32.133,case,2023-06-01
2020,35,12-17,320,2020-08-23,2020-08-29,433734,NA,NA,NA,73.778,case,2023-06-01
2020,35,18-49,3325,2020-08-23,2020-08-29,2294817,NA,NA,NA,144.892,case,2023-06-01
2020,35,5-11,173,2020-08-23,2020-08-29,509735,NA,NA,NA,33.939,case,2023-06-01
2020,35,50-64,900,2020-08-23,2020-08-29,1114015,NA,NA,NA,80.789,case,2023-06-01
2020,35,65-74,284,2020-08-23,2020-08-29,490739,NA,NA,NA,57.872,case,2023-06-01
2020,35,75-84,133,2020-08-23,2020-08-29,252053,NA,NA,NA,52.767,case,2023-06-01
2020,35,85+,88,2020-08-23,2020-08-29,115906,NA,NA,NA,75.924,case,2023-06-01
2020,35,Total,5336,2020-08-23,2020-08-29,5562663,NA,NA,NA,95.925,case,2023-06-01
2020,36,0-4,100,2020-08-30,2020-09-05,351664,NA,NA,NA,28.436,case,2023-06-01
2020,36,12-17,276,2020-08-30,2020-09-05,433734,NA,NA,NA,63.633,case,2023-06-01
2020,36,18-49,2857,2020-08-30,2020-09-05,2294817,NA,NA,NA,124.498,case,2023-06-01
2020,36,5-11,146,2020-08-30,2020-09-05,509735,NA,NA,NA,28.642,case,2023-06-01
2020,36,50-64,791,2020-08-30,2020-09-05,1114015,NA,NA,NA,71.004,case,2023-06-01
2020,36,65-74,231,2020-08-30,2020-09-05,490739,NA,NA,NA,47.072,case,2023-06-01
2020,36,75-84,148,2020-08-30,2020-09-05,252053,NA,NA,NA,58.718,case,2023-06-01
2020,36,85+,94,2020-08-30,2020-09-05,115906,NA,NA,NA,81.1,case,2023-06-01
2020,36,Total,4643,2020-08-30,2020-09-05,5562663,NA,NA,NA,83.467,case,2023-06-01
2020,37,0-4,78,2020-09-06,2020-09-12,351664,NA,NA,NA,22.18,case,2023-06-01
2020,37,12-17,227,2020-09-06,2020-09-12,433734,NA,NA,NA,52.336,case,2023-06-01
2020,37,18-49,2488,2020-09-06,2020-09-12,2294817,NA,NA,NA,108.418,case,2023-06-01
2020,37,5-11,116,2020-09-06,2020-09-12,509735,NA,NA,NA,22.757,case,2023-06-01
2020,37,50-64,728,2020-09-06,2020-09-12,1114015,NA,NA,NA,65.349,case,2023-06-01
2020,37,65-74,219,2020-09-06,2020-09-12,490739,NA,NA,NA,44.627,case,2023-06-01
2020,37,75-84,119,2020-09-06,2020-09-12,252053,NA,NA,NA,47.212,case,2023-06-01
2020,37,85+,78,2020-09-06,2020-09-12,115906,NA,NA,NA,67.296,case,2023-06-01
2020,37,Total,4053,2020-09-06,2020-09-12,5562663,NA,NA,NA,72.861,case,2023-06-01
2020,38,0-4,126,2020-09-13,2020-09-19,351664,NA,NA,NA,35.83,case,2023-06-01
2020,38,12-17,346,2020-09-13,2020-09-19,433734,NA,NA,NA,79.772,case,2023-06-01
2020,38,18-49,3758,2020-09-13,2020-09-19,2294817,NA,NA,NA,163.76,case,2023-06-01
2020,38,5-11,225,2020-09-13,2020-09-19,509735,NA,NA,NA,44.141,case,2023-06-01
2020,38,50-64,1168,2020-09-13,2020-09-19,1114015,NA,NA,NA,104.846,case,2023-06-01
2020,38,65-74,403,2020-09-13,2020-09-19,490739,NA,NA,NA,82.121,case,2023-06-01
2020,38,75-84,216,2020-09-13,2020-09-19,252053,NA,NA,NA,85.696,case,2023-06-01
2020,38,85+,142,2020-09-13,2020-09-19,115906,NA,NA,NA,122.513,case,2023-06-01
2020,38,Total,6384,2020-09-13,2020-09-19,5562663,NA,NA,NA,114.765,case,2023-06-01
2020,39,0-4,135,2020-09-20,2020-09-26,351664,NA,NA,NA,38.389,case,2023-06-01
2020,39,12-17,402,2020-09-20,2020-09-26,433734,NA,NA,NA,92.684,case,2023-06-01
2020,39,18-49,4260,2020-09-20,2020-09-26,2294817,NA,NA,NA,185.636,case,2023-06-01
2020,39,5-11,204,2020-09-20,2020-09-26,509735,NA,NA,NA,40.021,case,2023-06-01
2020,39,50-64,1389,2020-09-20,2020-09-26,1114015,NA,NA,NA,124.684,case,2023-06-01
2020,39,65-74,523,2020-09-20,2020-09-26,490739,NA,NA,NA,106.574,case,2023-06-01
2020,39,75-84,294,2020-09-20,2020-09-26,252053,NA,NA,NA,116.642,case,2023-06-01
2020,39,85+,174,2020-09-20,2020-09-26,115906,NA,NA,NA,150.122,case,2023-06-01
2020,39,Total,7381,2020-09-20,2020-09-26,5562663,NA,NA,NA,132.688,case,2023-06-01
2020,40,0-4,143,2020-09-27,2020-10-03,351664,NA,NA,NA,40.664,case,2023-06-01
2020,40,12-17,419,2020-09-27,2020-10-03,433734,NA,NA,NA,96.603,case,2023-06-01
2020,40,18-49,4017,2020-09-27,2020-10-03,2294817,NA,NA,NA,175.047,case,2023-06-01
