year,week,variant_cat,new_cases,mmwr_startdate,mmwr_enddate,report_date
2020,50,Beta,0,2020-12-06,2020-12-12,2022-10-13
2020,50,Delta,0,2020-12-06,2020-12-12,2022-10-13
2020,50,Gamma,0,2020-12-06,2020-12-12,2022-10-13
2020,50,Omicron,0,2020-12-06,2020-12-12,2022-10-13
2020,50,Other,8,2020-12-06,2020-12-12,2022-10-13
2020,50,VOI,0,2020-12-06,2020-12-12,2022-10-13
2020,51,Alpha,1,2020-12-13,2020-12-19,2022-10-13
2020,51,Beta,0,2020-12-13,2020-12-19,2022-10-13
2020,51,Delta,0,2020-12-13,2020-12-19,2022-10-13
2020,51,Gamma,0,2020-12-13,2020-12-19,2022-10-13
2020,51,Omicron,0,2020-12-13,2020-12-19,2022-10-13
2020,51,Other,21,2020-12-13,2020-12-19,2022-10-13
2020,51,VOI,0,2020-12-13,2020-12-19,2022-10-13
2020,52,Alpha,2,2020-12-20,2020-12-26,2022-10-13
2020,52,Beta,0,2020-12-20,2020-12-26,2022-10-13
2020,52,Delta,0,2020-12-20,2020-12-26,2022-10-13
2020,52,Gamma,0,2020-12-20,2020-12-26,2022-10-13
2020,52,Omicron,0,2020-12-20,2020-12-26,2022-10-13
2020,52,Other,7,2020-12-20,2020-12-26,2022-10-13
2020,52,VOI,0,2020-12-20,2020-12-26,2022-10-13
2020,53,Alpha,3,2020-12-27,2021-01-02,2022-10-13
2020,53,Beta,0,2020-12-27,2021-01-02,2022-10-13
2020,53,Delta,0,2020-12-27,2021-01-02,2022-10-13
2020,53,Gamma,0,2020-12-27,2021-01-02,2022-10-13
2020,53,Omicron,0,2020-12-27,2021-01-02,2022-10-13
2020,53,Other,1,2020-12-27,2021-01-02,2022-10-13
2020,53,VOI,1,2020-12-27,2021-01-02,2022-10-13
2021,1,Alpha,6,2021-01-03,2021-01-09,2022-10-13
2021,1,Beta,0,2021-01-03,2021-01-09,2022-10-13
2021,1,Delta,0,2021-01-03,2021-01-09,2022-10-13
2021,1,Gamma,1,2021-01-03,2021-01-09,2022-10-13
2021,1,Omicron,0,2021-01-03,2021-01-09,2022-10-13
2021,1,Other,48,2021-01-03,2021-01-09,2022-10-13
2021,1,VOI,3,2021-01-03,2021-01-09,2022-10-13
2021,2,Alpha,13,2021-01-10,2021-01-16,2022-10-13
2021,2,Beta,0,2021-01-10,2021-01-16,2022-10-13
2021,2,Delta,0,2021-01-10,2021-01-16,2022-10-13
2021,2,Gamma,1,2021-01-10,2021-01-16,2022-10-13
2021,2,Omicron,0,2021-01-10,2021-01-16,2022-10-13
2021,2,Other,58,2021-01-10,2021-01-16,2022-10-13
2021,2,VOI,3,2021-01-10,2021-01-16,2022-10-13
2021,3,Alpha,7,2021-01-17,2021-01-23,2022-10-13
2021,3,Beta,0,2021-01-17,2021-01-23,2022-10-13
2021,3,Delta,0,2021-01-17,2021-01-23,2022-10-13
2021,3,Gamma,0,2021-01-17,2021-01-23,2022-10-13
2021,3,Omicron,0,2021-01-17,2021-01-23,2022-10-13
2021,3,Other,57,2021-01-17,2021-01-23,2022-10-13
2021,3,VOI,2,2021-01-17,2021-01-23,2022-10-13
2021,4,Alpha,34,2021-01-24,2021-01-30,2022-10-13
2021,4,Beta,1,2021-01-24,2021-01-30,2022-10-13
2021,4,Delta,0,2021-01-24,2021-01-30,2022-10-13
2021,4,Gamma,0,2021-01-24,2021-01-30,2022-10-13
2021,4,Omicron,0,2021-01-24,2021-01-30,2022-10-13
2021,4,Other,44,2021-01-24,2021-01-30,2022-10-13
2021,4,VOI,10,2021-01-24,2021-01-30,2022-10-13
2021,5,Alpha,55,2021-01-31,2021-02-06,2022-10-13
2021,5,Beta,2,2021-01-31,2021-02-06,2022-10-13
2021,5,Delta,0,2021-01-31,2021-02-06,2022-10-13
2021,5,Gamma,0,2021-01-31,2021-02-06,2022-10-13
2021,5,Omicron,0,2021-01-31,2021-02-06,2022-10-13
2021,5,Other,76,2021-01-31,2021-02-06,2022-10-13
2021,5,VOI,20,2021-01-31,2021-02-06,2022-10-13
2021,6,Alpha,78,2021-02-07,2021-02-13,2022-10-13
2021,6,Beta,1,2021-02-07,2021-02-13,2022-10-13
2021,6,Delta,0,2021-02-07,2021-02-13,2022-10-13
2021,6,Gamma,0,2021-02-07,2021-02-13,2022-10-13
2021,6,Omicron,0,2021-02-07,2021-02-13,2022-10-13
2021,6,Other,128,2021-02-07,2021-02-13,2022-10-13
2021,6,VOI,24,2021-02-07,2021-02-13,2022-10-13
2021,7,Alpha,100,2021-02-14,2021-02-20,2022-10-13
2021,7,Beta,2,2021-02-14,2021-02-20,2022-10-13
2021,7,Delta,0,2021-02-14,2021-02-20,2022-10-13
2021,7,Gamma,0,2021-02-14,2021-02-20,2022-10-13
2021,7,Omicron,0,2021-02-14,2021-02-20,2022-10-13
2021,7,Other,98,2021-02-14,2021-02-20,2022-10-13
2021,7,VOI,23,2021-02-14,2021-02-20,2022-10-13
2021,8,Alpha,194,2021-02-21,2021-02-27,2022-10-13
2021,8,Beta,4,2021-02-21,2021-02-27,2022-10-13
2021,8,Delta,0,2021-02-21,2021-02-27,2022-10-13
2021,8,Gamma,0,2021-02-21,2021-02-27,2022-10-13
2021,8,Omicron,0,2021-02-21,2021-02-27,2022-10-13
2021,8,Other,144,2021-02-21,2021-02-27,2022-10-13
2021,8,VOI,25,2021-02-21,2021-02-27,2022-10-13
2021,9,Alpha,291,2021-02-28,2021-03-06,2022-10-13
2021,9,Beta,5,2021-02-28,2021-03-06,2022-10-13
2021,9,Delta,0,2021-02-28,2021-03-06,2022-10-13
2021,9,Gamma,0,2021-02-28,2021-03-06,2022-10-13
2021,9,Omicron,0,2021-02-28,2021-03-06,2022-10-13
2021,9,Other,168,2021-02-28,2021-03-06,2022-10-13
2021,9,VOI,39,2021-02-28,2021-03-06,2022-10-13
2021,10,Alpha,309,2021-03-07,2021-03-13,2022-10-13
2021,10,Beta,6,2021-03-07,2021-03-13,2022-10-13
