year,week,mmwr_startdate,mmwr_enddate,report_date,sex,pop_size,new_deaths,new_deaths_7day
2021,14,2021-04-04,2021-04-10,2022-12-29,Female,2792505,19,0.7
2021,14,2021-04-04,2021-04-10,2022-12-29,Male,2770873,32,1.2
2021,14,2021-04-04,2021-04-10,2022-12-29,Total,5563378,51,0.9
2021,15,2021-04-11,2021-04-17,2022-12-29,Female,2792505,19,0.7
2021,15,2021-04-11,2021-04-17,2022-12-29,Male,2770873,44,1.6
2021,15,2021-04-11,2021-04-17,2022-12-29,Total,5563378,63,1.1
2021,16,2021-04-18,2021-04-24,2022-12-29,Female,2792505,33,1.2
2021,16,2021-04-18,2021-04-24,2022-12-29,Male,2770873,27,1
2021,16,2021-04-18,2021-04-24,2022-12-29,Total,5563378,60,1.1
2021,17,2021-04-25,2021-05-01,2022-12-29,Female,2792505,23,0.8
2021,17,2021-04-25,2021-05-01,2022-12-29,Male,2770873,54,1.9
2021,17,2021-04-25,2021-05-01,2022-12-29,Total,5563378,77,1.4
2021,18,2021-05-02,2021-05-08,2022-12-29,Female,2792505,22,0.8
2021,18,2021-05-02,2021-05-08,2022-12-29,Male,2770873,33,1.2
2021,18,2021-05-02,2021-05-08,2022-12-29,Total,5563378,55,1
2021,19,2021-05-09,2021-05-15,2022-12-29,Female,2792505,36,1.3
2021,19,2021-05-09,2021-05-15,2022-12-29,Male,2770873,26,0.9
2021,19,2021-05-09,2021-05-15,2022-12-29,Total,5563378,62,1.1
2021,20,2021-05-16,2021-05-22,2022-12-29,Female,2792505,27,1
2021,20,2021-05-16,2021-05-22,2022-12-29,Male,2770873,18,0.6
2021,20,2021-05-16,2021-05-22,2022-12-29,Total,5563378,45,0.8
2021,21,2021-05-23,2021-05-29,2022-12-29,Female,2792505,15,0.5
2021,21,2021-05-23,2021-05-29,2022-12-29,Male,2770873,19,0.7
2021,21,2021-05-23,2021-05-29,2022-12-29,Total,5563378,34,0.6
2021,22,2021-05-30,2021-06-05,2022-12-29,Female,2792505,12,0.4
2021,22,2021-05-30,2021-06-05,2022-12-29,Male,2770873,18,0.6
2021,22,2021-05-30,2021-06-05,2022-12-29,Total,5563378,30,0.5
2021,23,2021-06-06,2021-06-12,2022-12-29,Female,2792505,16,0.6
2021,23,2021-06-06,2021-06-12,2022-12-29,Male,2770873,19,0.7
2021,23,2021-06-06,2021-06-12,2022-12-29,Total,5563378,35,0.6
2021,24,2021-06-13,2021-06-19,2022-12-29,Female,2792505,4,0.1
2021,24,2021-06-13,2021-06-19,2022-12-29,Male,2770873,18,0.6
2021,24,2021-06-13,2021-06-19,2022-12-29,Total,5563378,22,0.4
2021,25,2021-06-20,2021-06-26,2022-12-29,Female,2792505,11,0.4
2021,25,2021-06-20,2021-06-26,2022-12-29,Male,2770873,12,0.4
2021,25,2021-06-20,2021-06-26,2022-12-29,Total,5563378,23,0.4
2021,26,2021-06-27,2021-07-03,2022-12-29,Female,2792505,3,0.1
2021,26,2021-06-27,2021-07-03,2022-12-29,Male,2770873,9,0.3
2021,26,2021-06-27,2021-07-03,2022-12-29,Total,5563378,12,0.2
2021,27,2021-07-04,2021-07-10,2022-12-29,Female,2792505,6,0.2
2021,27,2021-07-04,2021-07-10,2022-12-29,Male,2770873,7,0.3
2021,27,2021-07-04,2021-07-10,2022-12-29,Total,5563378,13,0.2
2021,28,2021-07-11,2021-07-17,2022-12-29,Female,2792505,3,0.1
2021,28,2021-07-11,2021-07-17,2022-12-29,Male,2770873,9,0.3
2021,28,2021-07-11,2021-07-17,2022-12-29,Total,5563378,12,0.2
2021,29,2021-07-18,2021-07-24,2022-12-29,Female,2792505,8,0.3
2021,29,2021-07-18,2021-07-24,2022-12-29,Male,2770873,2,0.1
