year,week,mmwr_startdate,mmwr_enddate,report_date,age_group,pop_size,new_deaths,new_deaths_7day
2020,44,2020-10-25,2020-10-31,2022-09-22,12-17,433734,0,0
2020,44,2020-10-25,2020-10-31,2022-09-22,18-49,2294817,4,0.2
2020,44,2020-10-25,2020-10-31,2022-09-22,5-11,509735,0,0
2020,44,2020-10-25,2020-10-31,2022-09-22,50-64,1114015,14,1.3
2020,44,2020-10-25,2020-10-31,2022-09-22,65+,858698,146,17
2020,44,2020-10-25,2020-10-31,2022-09-22,Total,5562663,164,2.9
2020,45,2020-11-01,2020-11-07,2022-09-22,0-4,351664,0,0
2020,45,2020-11-01,2020-11-07,2022-09-22,12-17,433734,0,0
2020,45,2020-11-01,2020-11-07,2022-09-22,18-49,2294817,5,0.2
2020,45,2020-11-01,2020-11-07,2022-09-22,5-11,509735,0,0
2020,45,2020-11-01,2020-11-07,2022-09-22,50-64,1114015,9,0.8
2020,45,2020-11-01,2020-11-07,2022-09-22,65+,858698,209,24.3
2020,45,2020-11-01,2020-11-07,2022-09-22,Total,5562663,223,4
2020,46,2020-11-08,2020-11-14,2022-09-22,0-4,351664,0,0
2020,46,2020-11-08,2020-11-14,2022-09-22,12-17,433734,0,0
2020,46,2020-11-08,2020-11-14,2022-09-22,18-49,2294817,4,0.2
2020,46,2020-11-08,2020-11-14,2022-09-22,5-11,509735,0,0
2020,46,2020-11-08,2020-11-14,2022-09-22,50-64,1114015,18,1.6
2020,46,2020-11-08,2020-11-14,2022-09-22,65+,858698,272,31.7
2020,46,2020-11-08,2020-11-14,2022-09-22,Total,5562663,294,5.3
2020,47,2020-11-15,2020-11-21,2022-09-22,0-4,351664,0,0
2020,47,2020-11-15,2020-11-21,2022-09-22,12-17,433734,0,0
2020,47,2020-11-15,2020-11-21,2022-09-22,18-49,2294817,10,0.4
2020,47,2020-11-15,2020-11-21,2022-09-22,5-11,509735,0,0
2020,47,2020-11-15,2020-11-21,2022-09-22,50-64,1114015,25,2.2
2020,47,2020-11-15,2020-11-21,2022-09-22,65+,858698,371,43.2
2020,47,2020-11-15,2020-11-21,2022-09-22,Total,5562663,406,7.3
2020,48,2020-11-22,2020-11-28,2022-09-22,0-4,351664,0,0
2020,48,2020-11-22,2020-11-28,2022-09-22,12-17,433734,0,0
2020,48,2020-11-22,2020-11-28,2022-09-22,18-49,2294817,5,0.2
2020,48,2020-11-22,2020-11-28,2022-09-22,5-11,509735,0,0
2020,48,2020-11-22,2020-11-28,2022-09-22,50-64,1114015,37,3.3
2020,48,2020-11-22,2020-11-28,2022-09-22,65+,858698,410,47.7
2020,48,2020-11-22,2020-11-28,2022-09-22,Total,5562663,452,8.1
2020,49,2020-11-29,2020-12-05,2022-09-22,0-4,351664,0,0
2020,49,2020-11-29,2020-12-05,2022-09-22,12-17,433734,0,0
2020,49,2020-11-29,2020-12-05,2022-09-22,18-49,2294817,5,0.2
2020,49,2020-11-29,2020-12-05,2022-09-22,5-11,509735,0,0
2020,49,2020-11-29,2020-12-05,2022-09-22,50-64,1114015,32,2.9
2020,49,2020-11-29,2020-12-05,2022-09-22,65+,858698,457,53.2
2020,49,2020-11-29,2020-12-05,2022-09-22,Total,5562663,494,8.9
2020,50,2020-12-06,2020-12-12,2022-09-22,0-4,351664,0,0
2020,50,2020-12-06,2020-12-12,2022-09-22,12-17,433734,0,0
2020,50,2020-12-06,2020-12-12,2022-09-22,18-49,2294817,12,0.5
2020,50,2020-12-06,2020-12-12,2022-09-22,5-11,509735,0,0
2020,50,2020-12-06,2020-12-12,2022-09-22,50-64,1114015,32,2.9
2020,50,2020-12-06,2020-12-12,2022-09-22,65+,858698,458,53.3
2020,50,2020-12-06,2020-12-12,2022-09-22,Total,5562663,502,9
2020,51,2020-12-13,2020-12-19,2022-09-22,0-4,351664,0,0
2020,51,2020-12-13,2020-12-19,2022-09-22,12-17,433734,0,0
2020,51,2020-12-13,2020-12-19,2022-09-22,18-49,2294817,4,0.2
2020,51,2020-12-13,2020-12-19,2022-09-22,5-11,509735,0,0
2020,51,2020-12-13,2020-12-19,2022-09-22,50-64,1114015,30,2.7
2020,51,2020-12-13,2020-12-19,2022-09-22,65+,858698,379,44.1
2020,51,2020-12-13,2020-12-19,2022-09-22,Total,5562663,413,7.4
2020,52,2020-12-20,2020-12-26,2022-09-22,0-4,351664,0,0
2020,52,2020-12-20,2020-12-26,2022-09-22,12-17,433734,0,0
2020,52,2020-12-20,2020-12-26,2022-09-22,18-49,2294817,8,0.3
2020,52,2020-12-20,2020-12-26,2022-09-22,5-11,509735,0,0
2020,52,2020-12-20,2020-12-26,2022-09-22,50-64,1114015,23,2.1
2020,52,2020-12-20,2020-12-26,2022-09-22,65+,858698,297,34.6
2020,52,2020-12-20,2020-12-26,2022-09-22,Total,5562663,328,5.9
2020,53,2020-12-27,2021-01-02,2022-09-22,0-4,351664,0,0
2020,53,2020-12-27,2021-01-02,2022-09-22,12-17,433734,0,0
2020,53,2020-12-27,2021-01-02,2022-09-22,18-49,2294817,7,0.3
2020,53,2020-12-27,2021-01-02,2022-09-22,5-11,509735,0,0
2020,53,2020-12-27,2021-01-02,2022-09-22,50-64,1114015,21,1.9
2020,53,2020-12-27,2021-01-02,2022-09-22,65+,858698,244,28.4
2020,53,2020-12-27,2021-01-02,2022-09-22,Total,5562663,272,4.9
2021,1,2021-01-03,2021-01-09,2022-09-22,0-4,351664,0,0
2021,1,2021-01-03,2021-01-09,2022-09-22,12-17,433734,0,0
2021,1,2021-01-03,2021-01-09,2022-09-22,18-49,2294817,6,0.3
2021,1,2021-01-03,2021-01-09,2022-09-22,5-11,509735,0,0
2021,1,2021-01-03,2021-01-09,2022-09-22,50-64,1114015,15,1.3
2021,1,2021-01-03,2021-01-09,2022-09-22,65+,858698,215,25
2021,1,2021-01-03,2021-01-09,2022-09-22,Total,5562663,236,4.2
2021,2,2021-01-10,2021-01-16,2022-09-22,0-4,351664,0,0
2021,2,2021-01-10,2021-01-16,2022-09-22,12-17,433734,0,0
2021,2,2021-01-10,2021-01-16,2022-09-22,18-49,2294817,5,0.2
2021,2,2021-01-10,2021-01-16,2022-09-22,5-11,509735,0,0
2021,2,2021-01-10,2021-01-16,2022-09-22,50-64,1114015,23,2.1
2021,2,2021-01-10,2021-01-16,2022-09-22,65+,858698,182,21.2
2021,2,2021-01-10,2021-01-16,2022-09-22,Total,5562663,210,3.8
2021,3,2021-01-17,2021-01-23,2022-09-22,0-4,351664,0,0
2021,3,2021-01-17,2021-01-23,2022-09-22,12-17,433734,0,0
2021,3,2021-01-17,2021-01-23,2022-09-22,18-49,2294817,2,0.1
2021,3,2021-01-17,2021-01-23,2022-09-22,5-11,509735,0,0
2021,3,2021-01-17,2021-01-23,2022-09-22,50-64,1114015,9,0.8
2021,3,2021-01-17,2021-01-23,2022-09-22,65+,858698,115,13.4
2021,3,2021-01-17,2021-01-23,2022-09-22,Total,5562663,126,2.3
2021,4,2021-01-24,2021-01-30,2022-09-22,0-4,351664,0,0
2021,4,2021-01-24,2021-01-30,2022-09-22,12-17,433734,0,0
2021,4,2021-01-24,2021-01-30,2022-09-22,18-49,2294817,3,0.1
2021,4,2021-01-24,2021-01-30,2022-09-22,5-11,509735,0,0
2021,4,2021-01-24,2021-01-30,2022-09-22,50-64,1114015,7,0.6
2021,4,2021-01-24,2021-01-30,2022-09-22,65+,858698,105,12.2
2021,4,2021-01-24,2021-01-30,2022-09-22,Total,5562663,115,2.1
2021,5,2021-01-31,2021-02-06,2022-09-22,0-4,351664,0,0
2021,5,2021-01-31,2021-02-06,2022-09-22,12-17,433734,0,0
2021,5,2021-01-31,2021-02-06,2022-09-22,18-49,2294817,2,0.1
2021,5,2021-01-31,2021-02-06,2022-09-22,5-11,509735,1,0.2
2021,5,2021-01-31,2021-02-06,2022-09-22,50-64,1114015,7,0.6
2021,5,2021-01-31,2021-02-06,2022-09-22,65+,858698,79,9.2
2021,5,2021-01-31,2021-02-06,2022-09-22,Total,5562663,89,1.6
2021,6,2021-02-07,2021-02-13,2022-09-22,0-4,351664,0,0
2021,6,2021-02-07,2021-02-13,2022-09-22,12-17,433734,0,0
2021,6,2021-02-07,2021-02-13,2022-09-22,18-49,2294817,5,0.2
2021,6,2021-02-07,2021-02-13,2022-09-22,5-11,509735,0,0
2021,6,2021-02-07,2021-02-13,2022-09-22,50-64,1114015,7,0.6
2021,6,2021-02-07,2021-02-13,2022-09-22,65+,858698,75,8.7
2021,6,2021-02-07,2021-02-13,2022-09-22,Total,5562663,87,1.6
2021,7,2021-02-14,2021-02-20,2022-09-22,0-4,351664,0,0
2021,7,2021-02-14,2021-02-20,2022-09-22,12-17,433734,0,0
2021,7,2021-02-14,2021-02-20,2022-09-22,18-49,2294817,1,0
2021,7,2021-02-14,2021-02-20,2022-09-22,5-11,509735,0,0
2021,7,2021-02-14,2021-02-20,2022-09-22,50-64,1114015,6,0.5
2021,7,2021-02-14,2021-02-20,2022-09-22,65+,858698,54,6.3
2021,7,2021-02-14,2021-02-20,2022-09-22,Total,5562663,61,1.1
2021,8,2021-02-21,2021-02-27,2022-09-22,0-4,351664,0,0
2021,8,2021-02-21,2021-02-27,2022-09-22,12-17,433734,0,0
2021,8,2021-02-21,2021-02-27,2022-09-22,18-49,2294817,1,0
2021,8,2021-02-21,2021-02-27,2022-09-22,5-11,509735,0,0
2021,8,2021-02-21,2021-02-27,2022-09-22,50-64,1114015,4,0.4
